id,text
10001," Shout with joy to the Lord, all the earth!"
10002,"     Worship the Lord with gladness.
    Come before him, singing with joy."
10003," Acknowledge that the Lord is God!
    He made us, and we are his.
    We are his people, the sheep of his pasture."
10004," Enter his gates with thanksgiving;
    go into his courts with praise.
    Give thanks to him and praise his name."
10005," For the Lord is good.
    His unfailing love continues forever,
    and his faithfulness continues to each generation."
10101," I will sing of your love and justice, Lord.
    I will praise you with songs."
10102," I will be careful to live a blameless life
    when will you come to help me?
I will lead a life of integrity
    in my own home."
10103," I will refuse to look at
    anything vile and vulgar.
I hate all who deal crookedly;
    I will have nothing to do with them."
10104," I will reject perverse ideas
    and stay away from every evil."
10105," I will not tolerate people who slander their neighbors.
    I will not endure conceit and pride."
10106," I will search for faithful people
    to be my companions.
Only those who are above reproach
    will be allowed to serve me."
10107," I will not allow deceivers to serve in my house,
    and liars will not stay in my presence."
10108," My daily task will be to ferret out the wicked
    and free the city of the Lord from their grip."
10201," Lord, hear my prayer!
    Listen to my plea!"
10202," Dont turn away from me
    in my time of distress.
Bend down to listen,
    and answer me quickly when I call to you."
10203," For my days disappear like smoke,
    and my bones burn like redhot coals."
10204," My heart is sick, withered like grass,
    and I have lost my appetite."
10205," Because of my groaning,
    I am reduced to skin and bones."
10206," I am like an owl in the desert,
    like a little owl in a faroff wilderness."
10207," I lie awake,
    lonely as a solitary bird on the roof."
10208," My enemies taunt me day after day.
    They mock and curse me."
10209," I eat ashes for food.
    My tears run down into my drink"
10210," because of your anger and wrath.
    For you have picked me up and thrown me out."
10211," My life passes as swiftly as the evening shadows.
    I am withering away like grass."
10212," But you, O Lord, will sit on your throne forever.
    Your fame will endure to every generation."
10213," You will arise and have mercy on Jerusalem
    and now is the time to pity her,
    now is the time you promised to help."
10214," For your people love every stone in her walls
    and cherish even the dust in her streets."
10215," Then the nations will tremble before the Lord.
    The kings of the earth will tremble before his glory."
10216," For the Lord will rebuild Jerusalem.
    He will appear in his glory."
10217," He will listen to the prayers of the destitute.
    He will not reject their pleas."
10218," Let this be recorded for future generations,
    so that a people not yet born will praise the Lord."
10219," Tell them the Lord looked down
    from his heavenly sanctuary.
He looked down to earth from heaven"
10220,"     to hear the groans of the prisoners,
    to release those condemned to die."
10221," And so the Lords fame will be celebrated in Zion,
    his praises in Jerusalem,"
10222," when multitudes gather together
    and kingdoms come to worship the Lord."
10223," He broke my strength in midlife,
    cutting short my days."
10224," But I cried to him, O my God, who lives forever,
    dont take my life while I am so young!"
10225," Long ago you laid the foundation of the earth
    and made the heavens with your hands."
10226," They will perish, but you remain forever;
    they will wear out like old clothing.
You will change them like a garment
    and discard them."
10227," But you are always the same;
    you will live forever."
10228," The children of your people
    will live in security.
Their childrens children
    will thrive in your presence."
10301," Let all that I am praise the Lord;
    with my whole heart, I will praise his holy name."
10302," Let all that I am praise the Lord;
    may I never forget the good things he does for me."
10303," He forgives all my sins
    and heals all my diseases."
10304," He redeems me from death
    and crowns me with love and tender mercies."
10305," He fills my life with good things.
    My youth is renewed like the eagles!"
10306," The Lord gives righteousness
    and justice to all who are treated unfairly."
10307," He revealed his character to Moses
    and his deeds to the people of Israel."
10308," The Lord is compassionate and merciful,
    slow to get angry and filled with unfailing love."
10309," He will not constantly accuse us,
    nor remain angry forever."
10310," He does not punish us for all our sins;
    he does not deal harshly with us, as we deserve."
10311," For his unfailing love toward those who fear him
    is as great as the height of the heavens above the earth."
10312," He has removed our sins as far from us
    as the east is from the west."
10313," The Lord is like a father to his children,
    tender and compassionate to those who fear him."
10314," For he knows how weak we are;
    he remembers we are only dust."
10315," Our days on earth are like grass;
    like wildflowers, we bloom and die."
10316," The wind blows, and we are gone
    as though we had never been here."
10317," But the love of the Lord remains forever
    with those who fear him.
His salvation extends to the childrens children"
10318,"     of those who are faithful to his covenant,
    of those who obey his commandments!"
10319," The Lord has made the heavens his throne;
    from there he rules over everything."
10320," Praise the Lord, you angels,
    you mighty ones who carry out his plans,
    listening for each of his commands."
10321," Yes, praise the Lord, you armies of angels
    who serve him and do his will!"
10322," Praise the Lord, everything he has created,
    everything in all his kingdom.
Let all that I am praise the Lord."
10401," Let all that I am praise the Lord.
O Lord my God, how great you are!
    You are robed with honor and majesty."
10402,"     You are dressed in a robe of light.
You stretch out the starry curtain of the heavens;"
10403,"     you lay out the rafters of your home in the rain clouds.
You make the clouds your chariot;
    you ride upon the wings of the wind."
10404," The winds are your messengers;
    flames of fire are your servants."
10405," You placed the world on its foundation
    so it would never be moved."
10406," You clothed the earth with floods of water,
    water that covered even the mountains."
10407," At your command, the water fled;
    at the sound of your thunder, it hurried away."
10408," Mountains rose and valleys sank
    to the levels you decreed."
10409," Then you set a firm boundary for the seas,
    so they would never again cover the earth."
10410," You make springs pour water into the ravines,
    so streams gush down from the mountains."
10411," They provide water for all the animals,
    and the wild donkeys quench their thirst."
10412," The birds nest beside the streams
    and sing among the branches of the trees."
10413," You send rain on the mountains from your heavenly home,
    and you fill the earth with the fruit of your labor."
10414," You cause grass to grow for the livestock
    and plants for people to use.
You allow them to produce food from the earth"
10415,"     wine to make them glad,
olive oil to soothe their skin,
    and bread to give them strength."
10416," The trees of the Lord are well cared for
    the cedars of Lebanon that he planted."
10417," There the birds make their nests,
    and the storks make their homes in the cypresses."
10418," High in the mountains live the wild goats,
    and the rocks form a refuge for the hyraxes."
10419," You made the moon to mark the seasons,
    and the sun knows when to set."
10420," You send the darkness, and it becomes night,
    when all the forest animals prowl about."
10421," Then the young lions roar for their prey,
    stalking the food provided by God."
10422," At dawn they slink back
    into their dens to rest."
10423," Then people go off to their work,
    where they labor until evening."
10424," O Lord, what a variety of things you have made!
    In wisdom you have made them all.
    The earth is full of your creatures."
10425," Here is the ocean, vast and wide,
    teeming with life of every kind,
    both large and small."
10426," See the ships sailing along,
    and Leviathan, which you made to play in the sea."
10427," They all depend on you
    to give them food as they need it."
10428," When you supply it, they gather it.
    You open your hand to feed them,
    and they are richly satisfied."
10429," But if you turn away from them, they panic.
    When you take away their breath,
    they die and turn again to dust."
10430," When you give them your breath, life is created,
    and you renew the face of the earth."
10431," May the glory of the Lord continue forever!
    The Lord takes pleasure in all he has made!"
10432," The earth trembles at his glance;
    the mountains smoke at his touch."
10433," I will sing to the Lord as long as I live.
    I will praise my God to my last breath!"
10434," May all my thoughts be pleasing to him,
    for I rejoice in the Lord."
10435," Let all sinners vanish from the face of the earth;
    let the wicked disappear forever.
Let all that I am praise the Lord.
Praise the Lord!"
10501," Give thanks to the Lord and proclaim his greatness.
    Let the whole world know what he has done."
10502," Sing to him; yes, sing his praises.
    Tell everyone about his wonderful deeds."
10503," Exult in his holy name;
    rejoice, you who worship the Lord."
10504," Search for the Lord and for his strength;
    continually seek him."
10505," Remember the wonders he has performed,
    his miracles, and the rulings he has given,"
10506," you children of his servant Abraham,
    you descendants of Jacob, his chosen ones."
10507," He is the Lord our God.
    His justice is seen throughout the land."
10508," He always stands by his covenant
    the commitment he made to a thousand generations."
10509," This is the covenant he made with Abraham
    and the oath he swore to Isaac."
10510," He confirmed it to Jacob as a decree,
    and to the people of Israel as a neverending covenant:"
10511," I will give you the land of Canaan
    as your special possession."
10512," He said this when they were few in number,
    a tiny group of strangers in Canaan."
10513," They wandered from nation to nation,
    from one kingdom to another."
10514," Yet he did not let anyone oppress them.
    He warned kings on their behalf:"
10515," Do not touch my chosen people,
    and do not hurt my prophets."
10516," He called for a famine on the land of Canaan,
    cutting off its food supply."
10517," Then he sent someone to Egypt ahead of them
    Joseph, who was sold as a slave."
10518," They bruised his feet with fetters
    and placed his neck in an iron collar."
10519," Until the time came to fulfill his dreams,
    the Lord tested Josephs character."
10520," Then Pharaoh sent for him and set him free;
    the ruler of the nation opened his prison door."
10521," Joseph was put in charge of all the kings household;
    he became ruler over all the kings possessions."
10522," He could instruct the kings aides as he pleased
    and teach the kings advisers."
10523," Then Israel arrived in Egypt;
    Jacob lived as a foreigner in the land of Ham."
10524," And the Lord multiplied the people of Israel
    until they became too mighty for their enemies."
10525," Then he turned the Egyptians against the Israelites,
    and they plotted against the Lords servants."
10526," But the Lord sent his servant Moses,
    along with Aaron, whom he had chosen."
10527," They performed miraculous signs among the Egyptians,
    and wonders in the land of Ham."
10528," The Lord blanketed Egypt in darkness,
    for they had defied his commands to let his people go."
10529," He turned their water into blood,
    poisoning all the fish."
10530," Then frogs overran the land
    and even invaded the kings bedrooms."
10531," When the Lord spoke, flies descended on the Egyptians,
    and gnats swarmed across Egypt."
10532," He sent them hail instead of rain,
    and lightning flashed over the land."
10533," He ruined their grapevines and fig trees
    and shattered all the trees."
10534," He spoke, and hordes of locusts came
    young locusts beyond number."
10535," They ate up everything green in the land,
    destroying all the crops in their fields."
10536," Then he killed the oldest son in each Egyptian home,
    the pride and joy of each family."
10537," The Lord brought his people out of Egypt, loaded with silver and gold;
    and not one among the tribes of Israel even stumbled."
10538," Egypt was glad when they were gone,
    for they feared them greatly."
10539," The Lord spread a cloud above them as a covering
    and gave them a great fire to light the darkness."
10540," They asked for meat, and he sent them quail;
    he satisfied their hunger with mannabread from heaven."
10541," He split open a rock, and water gushed out
    to form a river through the dry wasteland."
10542," For he remembered his sacred promise
    to his servant Abraham."
10543," So he brought his people out of Egypt with joy,
    his chosen ones with rejoicing."
10544," He gave his people the lands of pagan nations,
    and they harvested crops that others had planted."
10545," All this happened so they would follow his decrees
    and obey his instructions.
Praise the Lord!"
10601," Praise the Lord!
Give thanks to the Lord, for he is good!
    His faithful love endures forever."
10602," Who can list the glorious miracles of the Lord?
    Who can ever praise him enough?"
10603," There is joy for those who deal justly with others
    and always do what is right."
10604," Remember me, Lord, when you show favor to your people;
    come near and rescue me."
10605," Let me share in the prosperity of your chosen ones.
    Let me rejoice in the joy of your people;
    let me praise you with those who are your heritage."
10606," Like our ancestors, we have sinned.
    We have done wrong! We have acted wickedly!"
10607," Our ancestors in Egypt
    were not impressed by the Lords miraculous deeds.
They soon forgot his many acts of kindness to them.
    Instead, they rebelled against him at the Red Sea."
10608," Even so, he saved them
    to defend the honor of his name
    and to demonstrate his mighty power."
10609," He commanded the Red Sea to dry up.
    He led Israel across the sea as if it were a desert."
10610," So he rescued them from their enemies
    and redeemed them from their foes."
10611," Then the water returned and covered their enemies;
    not one of them survived."
10612," Then his people believed his promises.
    Then they sang his praise."
10613," Yet how quickly they forgot what he had done!
    They wouldnt wait for his counsel!"
10614," In the wilderness their desires ran wild,
    testing Gods patience in that dry wasteland."
10615," So he gave them what they asked for,
    but he sent a plague along with it."
10616," The people in the camp were jealous of Moses
    and envious of Aaron, the Lords holy priest."
10617," Because of this, the earth opened up;
    it swallowed Dathan
    and buried Abiram and the other rebels."
10618," Fire fell upon their followers;
    a flame consumed the wicked."
10619," The people made a calf at Mount Sinai;
    they bowed before an image made of gold."
10620," They traded their glorious God
    for a statue of a grasseating bull."
10621," They forgot God, their savior,
    who had done such great things in Egypt"
10622," such wonderful things in the land of Ham,
    such awesome deeds at the Red Sea."
10623," So he declared he would destroy them.
    But Moses, his chosen one, stepped between the Lord and the people.
    He begged him to turn from his anger and not destroy them."
10624," The people refused to enter the pleasant land,
    for they wouldnt believe his promise to care for them."
10625," Instead, they grumbled in their tents
    and refused to obey the Lord."
10626," Therefore, he solemnly swore
    that he would kill them in the wilderness,"
10627," that he would scatter their descendants among the nations,
    exiling them to distant lands."
10628," Then our ancestors joined in the worship of Baal at Peor;
    they even ate sacrifices offered to the dead!"
10629," They angered the Lord with all these things,
    so a plague broke out among them."
10630," But Phinehas had the courage to intervene,
    and the plague was stopped."
10631," So he has been regarded as a righteous man
    ever since that time."
10632," At Meribah, too, they angered the Lord,
    causing Moses serious trouble."
10633," They made Moses angry,
    and he spoke foolishly."
10634," Israel failed to destroy the nations in the land,
    as the Lord had commanded them."
10635," Instead, they mingled among the pagans
    and adopted their evil customs."
10636," They worshiped their idols,
    which led to their downfall."
10637," They even sacrificed their sons
    and their daughters to the demons."
10638," They shed innocent blood,
    the blood of their sons and daughters.
By sacrificing them to the idols of Canaan,
    they polluted the land with murder."
10639," They defiled themselves by their evil deeds,
    and their love of idols was adultery in the Lords sight."
10640," That is why the Lords anger burned against his people,
    and he abhorred his own special possession."
10641," He handed them over to pagan nations,
    and they were ruled by those who hated them."
10642," Their enemies crushed them
    and brought them under their cruel power."
10643," Again and again he rescued them,
    but they chose to rebel against him,
    and they were finally destroyed by their sin."
10644," Even so, he pitied them in their distress
    and listened to their cries."
10645," He remembered his covenant with them
    and relented because of his unfailing love."
10646," He even caused their captors
    to treat them with kindness."
10647," Save us, O Lord our God!
    Gather us back from among the nations,
so we can thank your holy name
    and rejoice and praise you."
10648," Praise the Lord, the God of Israel,
    who lives from everlasting to everlasting!
Let all the people say, Amen!
Praise the Lord!"
10701," Give thanks to the Lord, for he is good!
    His faithful love endures forever."
10702," Has the Lord redeemed you? Then speak out!
    Tell others he has redeemed you from your enemies."
10703," For he has gathered the exiles from many lands,
    from east and west,
    from north and south."
10704," Some wandered in the wilderness,
    lost and homeless."
10705," Hungry and thirsty,
    they nearly died."
10706," Lord, help! they cried in their trouble,
    and he rescued them from their distress."
10707," He led them straight to safety,
    to a city where they could live."
10708," Let them praise the Lord for his great love
    and for the wonderful things he has done for them."
10709," For he satisfies the thirsty
    and fills the hungry with good things."
10710," Some sat in darkness and deepest gloom,
    imprisoned in iron chains of misery."
10711," They rebelled against the words of God,
    scorning the counsel of the Most High."
10712," That is why he broke them with hard labor;
    they fell, and no one was there to help them."
10713," Lord, help! they cried in their trouble,
    and he saved them from their distress."
10714," He led them from the darkness and deepest gloom;
    he snapped their chains."
10715," Let them praise the Lord for his great love
    and for the wonderful things he has done for them."
10716," For he broke down their prison gates of bronze;
    he cut apart their bars of iron."
10717," Some were fools; they rebelled
    and suffered for their sins."
10718," They couldnt stand the thought of food,
    and they were knocking on deaths door."
10719," Lord, help! they cried in their trouble,
    and he saved them from their distress."
10720," He sent out his word and healed them,
    snatching them from the door of death."
10721," Let them praise the Lord for his great love
    and for the wonderful things he has done for them."
10722," Let them offer sacrifices of thanksgiving
    and sing joyfully about his glorious acts."
10723," Some went off to sea in ships,
    plying the trade routes of the world."
10724," They, too, observed the Lords power in action,
    his impressive works on the deepest seas."
10725," He spoke, and the winds rose,
    stirring up the waves."
10726," Their ships were tossed to the heavens
    and plunged again to the depths;
    the sailors cringed in terror."
10727," They reeled and staggered like drunkards
    and were at their wits end."
10728," Lord, help! they cried in their trouble,
    and he saved them from their distress."
10729," He calmed the storm to a whisper
    and stilled the waves."
10730," What a blessing was that stillness
    as he brought them safely into harbor!"
