id,text,token_count
WikiEspGDC0,"Los ordenadores han ido evolucionando desde su creacion, pasando por diversas generaciones, desde 1940 hasta la actualidad, la historia de las computadoras ha pasado por muchas generaciones y la sexta, la mas reciente, viene integrada con microprocesadores como  los Intel Core o AMD Ryzen..",69
WikiEspGDC1,"El Electronic Numerical Integrator and Computer, mas conocido como ENIAC, se ha considerado a menudo la primera computadora de proposito general, aunque este ta≠tulo pertenece en realidad a la computadora alemana Z3. Era totalmente digital, es decir, ejecutaba sus procesos y operaciones mediante instrucciones en lenguaje maquina, a diferencia de otras maquinas contemporaneas de procesos analogicos. Presentada al pablico el 15 de febrero de 1946, John W. Mauchly y John Presper Eckert de la Universidad de Pensilvania (EE.A†UU.) iniciaron su desarrollo en 1943. Esta enorme maquina meda≠a mas de 30 metros de largo y pesaba 32 toneladas, estaba compuesta por 17A†468 valvulas. El calor de las valvulas elevaba la temperatura de la sala donde se hallaba instalada hasta los 50C. y para que llevase a cabo las operaciones para las que se haba≠a diseaado. Cuando la ENIAC se termino en 1946, la II Guerra Mundial ya haba≠a terminado. ",
WikiEspGDC31,"El fin de la contienda hizo que los esfuerzos hasta entonces dedicados principalmente a objetivos militares, se destinaran tambian a otro tipo de investigacion cienta≠fica mas relacionada con las necesidades de la empresa privada. Los esfuerzos maltiples dieron resultados en 1945 Mauchly y Eckert comenzaron a trabajar en una sucesora de la ENIAC, el EDVAC (Electronic Discrete Variable Automatic Computer) y Aiken inicio el diseao de la Mark II. En 1951, el que esta considerado como la primera computadora que se llamo Saly fue ampliamente comercializada, la UNIVAC I, comenzo a funcionar con axito. En 1952 la computadora UNIVAC se utilizo para realizar el recuento de votos en las elecciones presidenciales de EE.A†UU. El resultado victoria (EIsenhower sobre Adlai Stevenson) se conocio 50 minutos despuas de que se cerraran los colegios electorales.",
WikiEspGDC2,"Estaban construidas con electronica de valvulas de vaca≠o. Se programaban  en lenguaje de la maquina. Un programa es un conjunto de instrucciones para que la maquina efectae alguna tarea, y el lenguaje mas simple en el que puede especificarse un programa se llama lenguaje de maquina (porque el programa debe escribirse mediante algan conjunto de codigos binarios). La primera generacion de computadoras y sus antecesores, se describen en la siguiente lista de los principales modelos de que consto:
",121
WikiEspGDC3,"1946 ENIAC. Considerada a menudo como la primera computadora digital electronica en la historia. No fue un modelo de produccion, sino una maquina experimental. Tampoco era programable en el sentido actual. Se trataba de un enorme aparato que ocupaba todo un sotano en la universidad. Construida con 18A†000 tubos de vaca≠o, consuma≠a varios kW de potencia elactrica y pesaba 27 toneladas. Era capaz de efectuar cinco mil sumas por segundo. Fue hecha por un equipo de ingenieros y cienta≠ficos encabezados por los doctores John W. Mauchly y J. Presper Eckert[1]Aã en la universidad de Pensilvania, en los Estados Unidos.
",169
WikiEspGDC4,"1949 EDVAC. Segunda computadora programable. Tambian fue un prototipo de laboratorio, pero ya inclua≠a en su diseao las ideas centrales que conforman las computadoras actuales.",45
WikiEspGDC5,"1951 UNIVAC I. Primera computadora comercial. Los doctores Mauchly y Eckert fundaron la compaaa≠a Universal Computer (Univac), y su primer producto fue esta maquina. El primer cliente fue la Oficina del Censo de Estados Unidos.
",58
WikiEspGDC6,"1953 IBM 701. Para introducir los datos, estos equipos empleaban tarjetas perforadas, que haba≠an sido inventadas en los aaos de la revolucion industrial (finales del sigloA†XVIII) por el francas Joseph Marie Jacquard y perfeccionadas por el estadounidense Herman Hollerith en 1890. La IBM 701 fue la primera de una larga serie de computadoras de esta compaaa≠a, que luego se convertira≠a en la namero uno, por su volumen de ventas.
",114
WikiEspGDC7,"La segunda generacion de las computadoras reemplazo las valvulas de vaca≠o por los transistores. Con esto, las computadoras de la segunda generacion son mas pequeaas y consumen menos electricidad que las de la anterior. La forma de comunicacion con estas nuevas computadoras es mediante lenguajes mas avanzados que el lenguaje de maquina, los cuales reciben el nombre de Alenguajes de alto nivel"" o ""lenguajes de programacion"".
",103
WikiEspGDC9,"1951: Maurice Wilkes inventa la microprogramacion, que simplifica mucho el desarrollo de las CPU pero esta microprogramacion tambian fue cambiada mas tarde por el computador aleman Bastian Shuantiger.
",46
WikiEspGDC10,"1956: IBM vendio por un valor de 1 230 000 dolares su primer sistema de disco magnatico, el RAMAC (Random Access Method of Accounting and Control). Usaba 50 discos de metal de 61A†cm, con 100 pistas por lado. Poda≠a guardar 5 megabytes de datos, con un coste de 10 000 USD por megabyte. El primer lenguaje de programacion de proposito general de alto-nivel, FORTRAN, tambian estaba desarrollandose en la empresa IBM alrededor de este tiempo. (El diseao de lenguaje de alto-nivel Plankalkaºl de 1945 de Konrad Zuse no se implemento en ese momento).
",153
WikiEspGDC11,"1959: IBM envio el mainframe IBM 1401 basado en transistores, que utilizaba tarjetas perforadas. Demostro ser una computadora de proposito general y se vendieron 12A†000 unidades, haciandola la maquina mas exitosa en la historia de la computacion. Tena≠a una memoria de nacleo magnatico de 4000 caracteres (despuas se extendio a 16A†000 caracteres). Muchos aspectos de sus diseaos estaban basados en el deseo de reemplazar el uso de tarjetas perforadas, que eran muy usadas desde los aaos 1920 hasta principios de la dacada de 1970.
",150
WikiEspGDC12,"1960:la empresa IBM lanzo el mainframe IBM 1620 basada en transistores, originalmente con solo una cinta de papel perforado, pero pronto se actualizo a tarjetas perforadas. Probo ser una computadora cienta≠fica popular y se vendieron aproximadamente 2000 unidades. Utilizaba una memoria de nacleo magnatico de mas de 60A†000 da≠gitos decimales.
",95
WikiEspGDC13,"1962: Se desarrolla el primer juego de ordenador, llamado Spacewar!
DEC lanzo el PDP-1, su primera maquina orientada al uso por personal tacnico en laboratorios y para la investigacion.",49
WikiEspGDC14,"La tercera generacion de computadoras emergio con el desarrollo de circuitos integrados (pastillas de silicio) en las que se colocan miles de componentes electronicos en una integracion en miniatura. A finales de los aaos 1950 se produjo la invencion del circuito integrado o chip. Despuas llevo a la invencion del microprocesador, en la formacion de 1960, investigadores como  en el  formaban un codigo, otra forma de codificar o programar.
",114
WikiEspGDC15,"A partir de esta fecha, empezaron a empaquetarse varios transistores diminutos y otros componentes electronicos en un solo chip o encapsulado, que contena≠a en su interior un circuito completo: un amplificador, un oscilador, o una puerta logica. Naturalmente, con estos chips (circuitos integrados) era mucho mas facil montar aparatos complicados: receptores de radio o television y computadoras.
",97
WikiEspGDC16,"En 1964, anuncio el primer grupo de maquinas construidas con circuitos integrados, que recibio el nombre de ""serie"".
",32
WikiEspGDC17,"1964: la empresa IBM anuncio la serie IBM S/360, que fue la primera familia de computadoras que poda≠a correr el mismo software en diferentes combinaciones de velocidad, capacidad y precio. Tambian abrio el uso comercial de microprogramas, y un juego de instrucciones extendidas para procesar muchos tipos de datos, no solo aritmatica. Ademas, se unifico la la≠nea de producto de IBM, que previamente a este tiempo tena≠a dos la≠neas separadas, una la≠nea de productos AcomercialesAù y una la≠nea Acienta≠ficaAù. El software proporcionado con el System/350 tambian incluyo mayores avances, incluyendo multiprogramacion disponible comercialmente, nuevos lenguajes de programacion, e independencia de programas de dispositivos de entrada/salida. Mas de 14A†000 unidades del System/360 haba≠an sido entregadas en 1968. Se considera el 360 el punto de partida para la tercera generacion de computadoras y sonic.
",213
WikiEspGDC18,"Estas computadoras de tercera generacion sustituyeron totalmente a los de segunda, introduciendo una nueva forma de programar que aan se mantiene en las grandes computadoras actuales.
",43
WikiEspGDC20,"Fase caracterizada por la integracion sobre los componentes electronicos, lo que propicio la aparicion del microprocesador un anico circuito integrado en el que se reanen los elementos basicos de la maquina. Se desarrollo el ""chip"".
",58
WikiEspGDC21,"Se colocan mas circuitos dentro de un ""chip"". Cada ""chip"" puede hacer diferentes tareas. Un ""chip"" sencillo actualmente contiene la unidad de control y la unidad de aritmatica/logica. El tercer componente, la memoria primaria, es operado por otros ""chips"". Se reemplaza la memoria de nacleos magnaticos por la memoria de ""chips"" de silicio. Se desarrollan las microcomputadoras, es decir, computadoras personales o PC. Se desarrollan las supercomputadoras. La denominada Cuarta Generacion (1971 a 1983) es el producto de la micro miniaturizacion de los circuitos electronicos. El tamaao reducido del microprocesador de chips hizo posible la creacion de las computadoras personales (PC). Hoy en da≠a las tecnologa≠as LSI (Integracion a gran escala) y VLSI (Integracion a muy gran escala) permiten que cientos de miles de componentes electronicos se almacenen en un chip. Usando VLSI, un fabricante puede hacer que una computadora pequeaa rivalice con una computadora de la primera generacion que ocupaba un cuarto completo. Hicieron su gran debut las microcomputadoras.
",275
WikiEspGDC22,"Hizo que sea una computadora ideal para uso ApersonalAù, de aha≠ que el tarmino APCAù se estandarizara y los clones que sacaron posteriormente otras empresas fueron llamados APC y compatiblesAù, usando procesadores del mismo tipo que las IBM , pero a un costo menor y pudiendo ejecutar el mismo tipo de programas. Existen otros tipos de microcomputadoras, como la Macintosh, que no son compatibles con la IBM, pero que en muchos de los casos se les llaman tambian APCAù, por ser de uso personal. El primer microprocesador fue el Intel 4004, producido en 1971. Se desarrollo originalmente para una calculadora, y resultaba revolucionario para su apoca. Contena≠a 2300 transistores en un microprocesador de 4 bits que solo poda≠a realizar 60A†000 operaciones por segundo.",193
WikiEspGDC23,"La quinta generacion, tambian conocida por sus siglas en inglas, es un proyecto hecho en Japon que comenzo en 1981. Su objetivo era el desarrollo de una nueva clase de computadoras que utilizara≠an tacnicas y tecnologa≠as de inteligencia artificial tanto en el plano del hardware como del software. Usando el lenguaje sera≠a capaces de resolver problemas complejos, como la traduccion automatica de una lengua natural a otra (del japonas al inglas, por ejemplo). Como unidad de medida del rendimiento y prestaciones de estas computadoras se empleaba la cantidad  capaz de realizar durante la ejecucion de las distintas tareas programadas. Para su desarrollo se emplearon diferentes tipos de arquitecturas.
",159
WikiEspGDC24,"Esta generacion abarca desde 1990 hasta 1998, en esos tiempos crearon una computadora llamada NeXTstation que servia para jugar, estudiar y lo mas importante, trabajar. Salio a la venta, para computacion ""interpersonal"", como lo describio Steve Jobs, su creador.  El NeXTstation se pretenda≠a que fuera un computador para los aaos 1990, y fue una mas barata version que el previo NeXT Computer.
",106
WikiEspGDC25,"En mayo de 1998 en el que Steve Jobs se presento ante periodistas, accionistas y consumidores con la intencion de cambiar el mundo con su nueva computadora, el primer iMac de apple.
",45
WikiEspGDC26,"La primera iMac consiguio romper con la monotona≠a de los PCs de Microsoft y hasta de la propia Macintosh, con aspecto compacto y color beige. La imagen de la nueva maquina de Apple ofreca≠a un diseao en forma de huevo, con una carcasa transparente que dejaba ver sus entraaas y se ofreca≠a en diferentes y divertidos colores. Tambian tena≠a un asa en la parte superior que permita≠a una mejor movilidad.
",99
WikiEspGDC27,"Ademas, el iMac fue el primer computador todo en uno, donde hardware y software se encontraban en un mismo sitio. Lo anico que se conectaba al ordenador eran el teclado y el raton, sin necesidad de torres.
",53
WikiEspGDC28,"La saptima generacion comienza en el aao 1999 donde popularizan las pantallas plana LCD 2 y hacen a un lado a los rayos catodicos, en donde se han dejado los DVD y los formatos de disco duro optico.
",58
WikiEspGDC29,"La nueva generacion de almacenamiento de datos de alta densidad con una capacidad de almacenamiento que llega a las 50 GB, aunque se ha confirmado que esta lista puede recibir 16 capas de 400 GB.
",47
WikiEspGDC30,"Son mas pequeaas y versatiles, asa≠ como las pantallas tactiles, los libros electronicos, tablets, moviles de altima generacion e infinidad de dispositivos electronicos, como los reproductores de masica y va≠deo en mp3 y mp4 u otros formatos, las camaras de fotos digitales, los discos duros externos y las memorias flash o usb, incluso las pantallas planas de alta resolucion.
",98
