text,label
"In Chicago's O'Hare airport, advertising executive Buddy Amaral (Ben Affleck) is delayed by a snow storm for a return flight to Los Angeles, on the same airline he has just signed as a big client. He meets writer Greg Janello (Tony Goldwyn), and when his flight resumes boarding, Buddy gives his ticket to Greg so he can get home to his sons, 12-year old Scott (Alex D. Linz) and 8-year old Joey (David Dorfman). Buddy convinces his friend and airline employee Janice Guerrero (Jennifer Grey) to allow Greg to take his place on the flight. While spending the night with fellow stranded passenger Mimi (Natasha Henstridge), Buddy sees on television that the flight crashed. He has Janice check into the computer system to remove his name from the passenger manifest and add Greg's name.
Greg's wife Abby (Gwyneth Paltrow) is woken up by news of the crash, and for many hours is torn between hope and despair, clinging to the belief that Greg would still arrive on the later flight on which he was originally booked, until his death is confirmed.
Once back in L.A., the airline dictates that Buddy run a series of innocuous ads to ameliorate the tragic consequences of the crash, even winning a Clio award. Crushed by guilt, Buddy drunkenly (and publicly) begins a stint in Alcoholics Anonymous. One of the steps in recovery is to make up for past deeds, with Buddy seeking out Abby, a budding realtor. Giving her a tip on a commercial office building that Jim (Joe Morton), Buddy's partner and boss,",drama
"After performing well on her school's track team, Sarah (Sophie Desmarais) is encouraged to go to McGill University to train. When she brings up the idea to her mom, she tells Sarah they don't have the money to help her move. Sarah talks with her co-worker Antoine (Jean-Sébastien Courchesne) about wanting to go to Montreal, who is looking for a change of scenery. The both of them decide to move to Montreal and live together as roommates, with Antoine footing the bill for their move and helping her financially with the apartment. On their way to Montreal, Antoine suggests that they marry in order to obtain financing available to young couples in university. Sarah shrugs him off initially, but eventually agrees to the idea, and the two of them get married.
Once at school, Sarah quickly becomes overwhelmed with the financial responsibilities of being enrolled in the running program. She meets a fellow runner named Isabelle and befriends her.
At a student party, while watching Isabelle singing karaoke, Sarah begins to feel her heart speed up. She is taken to the hospital by Antoine, where she learns that she has a heart condition that could prevent her from running. The doctor refers her to a cardiologist. During the cardiology appointment, she is told to wear a device that measures her heart rate and keep a journal of her physical activity.
On one of Sarah's nights off, she and Antoine hang out together at home. Over dinner, Antoine kisses her, and the two have sex. The follo",drama
"In rural North Carolina in the post-Depression late 1930s, Roxy Walston is only 17 when she marries a boy she knows, Aaron. They have a child (called Baby) and live and work on a farm that raises tobacco.
Roxy's father, who operates a mortuary, sends a young drifter named Jack Ruffin their way to be a farmhand. Jack has an affair with Roxy, with tragic results.",drama
"This film is about a small unit of 40 Turkish soldiers in a remote patrol station in eastern Turkey, in a state of near certain death, during the most violent times, in the conflict between the Turkish Army and the Kurdistan Workers' Party (PKK).",drama
"The 60-year-old widow Maggie (Marianne Faithfull) desperately needs money for the cost of traveling to Australia for a special medical treatment of her beloved ill grandson Olly. After several unsuccessful attempts to get a job, she finds herself in the streets of Soho. Her eye is caught by poster in the window of a shop called Sexy World: ""Hostess wanted."" She enters, and Miki (Miki Manojlović), the owner of the shop, explains to her frankly that ""hostess"" is a euphemism for ""whore."" The job he has for her is one for which age and being visually attractive are not important: a male customer inserts his penis in a hole in a wall (glory hole), and she, at the other side, gives a handjob (however, the film does not show any penis). Her colleague, Luisa, shows her how to do it, and after the first hesitation, she quickly develops good skills. However, she keeps her work secret from friends and family, which leads to uncomfortable situations. After a while, she tells some friends. They are quite interested and ask various details.
Under the pseudonym Irina Palm, she becomes increasingly more successful and well-paid, 600 to 800 pounds a week. However, the health of her grandson deteriorates quickly, therefore she asks and receives an advance payment of 6000 pounds for 10 weeks of work. She gives the money to her son Tom (Kevin Bishop) without telling how she got it. He follows her to learn about the source of the money, and is furious when he discovers what she does. He wants he",drama
"It is the story of a man named Yakov Bok, a Jew living in the Russian Empire, who was unjustly imprisoned based on prejudice and the blood libel. It was based on the incidents of the Beilis Trial in 1913, in which Menahem Mendel Beilis was wrongly accused of having murdered a Ukrainian boy named Andrei Yushchinsky, with blood libel being presented as the alleged motivation.",drama
"On her first trip to Washington, D.C., aspiring reporter Alice Kingsley is shown around by Gilbert Nunnally, a successful radio commentator. Nunnally has a cynical view of the Capitol and everybody in it, expressing his belief that every politician can be bought.
Alice wants to see if there's any truth to that, so she chooses a young Massachusetts congressman with a squeaky-clean image, Joe Gresham, and introduces herself. Joe is leery of the press and makes a phone call to check her credentials, but Alice, having anticipated this, gives him a number for Nunnally, who pretends to be the reporter's editor and vouches for her credentials.
Following him around, Alice is impressed by Joe's work ethic and personality. She wonders if veteran politician Charles Birch is a corrupting influence, only to learn that Birch has been a mentor to Joe and is greatly admired.
Nunnally persuades her that something fishy is going on between Joe and a lobbyist named Phil Emery, who is trying to get Joe's key vote for a bill to pass. Joe is more concerned about its effect on his own constituents than its greater impact. Alice isn't sure what to make of that, or of Joe's seeming disinterest in an elderly immigrant's possible deportation.
After a late-night meeting, apparently with Emery, colleagues in Congress end up applauding for Joe after he has a change of heart about the bill. Alice is now persuaded by Nunnally that he sold his vote for a price. She is made aware by Birch that the reason ",drama
"Eva Lovelace (Katharine Hepburn) is a performer from a small town who has dreamed since childhood of making it big on Broadway. She has evidently gone to many auditions, but no one has given her a break. At the management office of the Easton Theatre, where she hopes to land a role, another actress, current star Rita Vernon (Mary Duncan), breezes in to see the handsome middle-aged theater owner and producer, Louis Easton (Adolphe Menjou), a consummate businessman who is well aware of his prestige in the theater world. Blonde diva Rita is high-handed and self-absorbed, with an alcohol problem as well, but she's under verbal contract to Easton. She shamelessly flirts as she negotiates a deal; she'll accept a small role (which she doesn't want) in the upcoming play, for one big concession: her pick of roles in the next production. The principals are taking a risk that she'll contain her artistic temperament and lay off the bottle. Even so, her name and fame will help launch the play, a new comedy by Joseph Sheridan (Douglas Fairbanks Jr.)
Meanwhile, as she waits to see if she'll get a chance to talk to Easton, Eva meets and impresses Robert Hedges (C. Aubrey Smith), an experienced character actor also under contract to Easton. Delighted with her childlike ebullience, Hedges agrees to help her. He takes Eva into the office and introduces her as his protegee. Sheridan, there to cast his upcoming comedy production, is also immediately struck by Eva's vivacious and eccentric person",drama
"Sean, a runner for a drug gang, has checked into room 303 at the seedy, rundown Heaven Hotel in Bangkok, to await arrival of a package of heroin. Another guest is Rosa, psychologist who is researching slum children, on the floor below (room 202). In the next room, 203, is Lita, a female assassin who is waiting to intercept the package Sean is waiting for. Tying them all together, is the 13-year-old bellboy, Wit, a streetwise, light-fingered kid.",drama
"Major Jaidev ""Jai"" Rajvansh (Anil Kapoor) and his fellow officer manage to rescue a leading politician as well as capture his kidnapper, Abhrush (Danny Denzongpa). The terrorist has been wanted for years and he is finally captured by the two officers. Jai returns to a joyous welcome and is declared a national hero. He takes a break from the army and returns to his hometown. There he meets his childhood friend Anjali (Madhuri Dixit) who has always harboured love for Jai. Anjali wants to make most of Jai's holiday and tries to get close to him and spend time with him as much as she can.
At a party, he meets the then Miss India, Pooja Mallapa (Namrata Shirodkar). As they spend more time together, they begin to fall in love. In the mean time, Jai's parents are arranging his marriage to Anjali but when they find out about Jai's love for Pooja, they realise that they have to tell Anjali everything. Anjali, heartbroken and jealous wants revenge as Jai rejected her. Realising her frustration with Jai, Abrush takes advantage (via the said ""kidnapped"" politician who is hand in glove with Abrush) and together they plot to destroy Jai's reputation and life.
Anjali manages to steal certain important secret documents detailing plans for Abrush's movement from prison to prison. The following events lead to Jai being court martialed and he is declared a traitor to the country. Pooja leaves him alone due to family pressure. Jai, determined to prove his innocence and redeem himself, decides ",drama
