,text,label
0,"Chicken farmer Arthur Williams (Harvey) delightfully narrates his personal tale of murder, both of chickens and his ex-fiance Helen (Court). Helen desires to see the world, where as Arthur wants to stay close to his chicken farm. Helen once saw the farm as a haven but came to see it as restrictive to her desires. Arthur strangles Helen to death when she returns to him a year after leaving him for another wealthy man named Stanley Braithwaite. In her absence, Arthur had grown accustomed to his lifestyle (with no staff and no spouse) and desires no changes. Sergeant John Theron (Macnee) investigates Arthur but is unable to find the body because Arthur has ground it up in his hammer mill into chicken feed.
",152
1,"When convicted robber Jackie Blake (Hickman) is released from prison, he is warmly accepted into the home of Martha Collins (Dunnock), mother of Jackie's former cellmate. Jackie has hopes of making a new honest life, but Martha and her other son, Ralph (Persoff), only took Jackie in because they believe that he has the loot from a previous robbery hidden somewhere. Ralph tries to force Jackie to reveal its whereabouts, and Jackie stabs him to death in self-defense. When Jackie tries to defend his actions to Martha, she tells him the truth behind her kindness to him. We last see Martha run screaming for help, and we can presume Jackie was arrested again and returned to prison, whether the self-defense claim he most likely pleaded was accepted or not.
",157
2,"Inspector Benson (Moore) is tasked with preventing Lady Gwendolyn Avon (Court) from smuggling her emerald necklace out of the country, which would therefore cheat the estate tax requirement. Lady Avon thwarts Benson and his officers at every turn and manages to leave the country without the necklace on her, as the uninsured necklace was ""stolen"" from the hotel safe where it was kept at her orders (rather than be safely kept in the local bank). Benson and two other police officers follow and frequently search her to seek the necklace's whereabouts. However, Benson and Avon are secretly lovers, and Benson carried the necklace for her the entire time. In the end, Lady Avon is successful at selling the necklace for $250,000, tax-free of course.
",158
3,"When Jeff Jensen (Persoff) is non-fatally attacked by his wife, Marie (Williams), he assumes that Marie is suffering from tropical fever that affects the brain. Native manservant Luiz (Strong) offers to stab and kill her, but Jeff says no. When he confronts Marie, she laughs instead of crying, so he requests servant Chita (Burton) to watch over her. Jeff arranges for his friend Mike (Richman), an oilman, and Luiz to take Marie downriver to a shrink. Mike and Marie are having an affair and attempt to kill Luiz while resting at night on the journey; Luiz kills Mike and follows Jeff's orders to the letter by sending Marie to a native ""head doctor"" who shrinks her head.
",158
4,"While traveling on a plane, war correspondent Ted Franklin (Merrill) strikes up a conversation with fellow passenger Barbara Denim (Cutts). Franklin is under arrest and is traveling with police Inspector Kafir (Welles) on the way home to be tried for a murder. He tells Denim a story of being an innocent newsman trying to get information from a misguided and angry father, Abdul Ismael (Shayne), who lost his son Sasha (George) to execution over stolen jewels. Once he has told her his story, Franklin learns that Denim is a witness who is going to testify against him, as she expertly breaks down his story to reveal that he pursued to grief-stricken father over the jewels after promising to get the son released if paid a portion.
",159
5,"Juan Diaz is dying and penniless. His last wish is that he can provide financial security for his family. About a year later, a gravedigger named Alejandro exhumes Juan's corpse to make room in the cemetery. He has it mummified and stores it in a crypt with a number of other mummies. Juan's wife, Maria, discovers Alejandro's plan and steals Juan's body. She hangs it in the house and tells tourists that it is an authentic Mexican mummy. Money from the tourists pays for food and clothing for Maria and her three children. Eventually, however, Maria is overcome by the ghoulishness of what she has done. She begs for forgiveness, but a gleam in the eye of the corpse's body reveals that Juan approves of what she has done.
",161
6,"Dana Edwards (McGuire)'s fiance Laura (Ames) is killed in a hit-and-run in front of Dana and others (Collier), and he is unable to remember any details of the car involved for Police Inspector Shea (Newton). His mother (Warren) consoles him as best she can, helping him try to recover, when a man suddenly arrives. The stranger, John Hurley (Harris), is a former teacher who lost his son in a similar way, and he claims to know how to give Dana Total recall. After many sessions, Dana is successfully able to remember the license plate of the car and tells Shea. He is then surprised to learn from Shea that John Hurley is crazy and not a memory expert at all, nor did he ever have a son.
",163
7,"Verge Likens is a farmer whose father was killed by a crooked politician named Riley McGrath (Emhardt). Verge returns home to avenge his father's death. He manages to get close to Riley by getting hired as an assistant at a barbershop. After asking the barber to run an errand, Verge is alone with Riley and proceeds to lather up the murdering politician for a shave. Verge vividly describes how he is planning to cut Riley's throat. When the barber returns to the barbershop, he finds the door locked. He gets the police, who break down the door. Inside, they find Verge standing over Riley's dead body. Verge has avenged his father's death and he is not guilty of a crime. Riley died of a heart attack.
",165
8,"Tony Gould (Cotten) meets with his mistress, Shelley (White), in his office after hours. When Shelley threatens to expose their relationship to Tony's wife, he stabs her to death but is unable to leave because the office is locked. He attempts to get the key to fall from the lock and slide it under the door, but the key will not fit. Tony calls his friend Charlie (Buffington) to help, but Charlie drunkenly leaves the phone off the hook to go party with his neighbors (Gibbons and Green). The next day, when Tony attempts to communicate with a person in an adjacent building, the police (Logan and Eldredge) are called, and they break into the office. Tony almost escapes, but his drunken friend Charlie arrives and discovers the body in his office restroom.
",166
9,"1862, during the American Civil War. Recently-widowed Confederate Peyton Farquhar (Howard) decides, after discussing current circumstances with his housekeeper slave Hattie (Goodwin) and friend Jeff (a Confederate officer) (Tobey), to blow up a bridge that the Yankees plan to use to cross, but he is caught by a Union sergeant (Coburn). Peyton is hanged, but the rope breaks and he seemingly escapes. With the help of slave Josh (Hernandez), who perpetually-sings despite Peyton's fearful mood, Peyton travels past various Union soldiers safely and returns home to his wife Melissa. Right before the two can embrace, however, Peyton collapses with a sharp pain to his neck. Peyton is actually dead; he never escaped from the hanging. The doomed man imagined the whole escape.
",169
10,"Kooky mystery writer Babs Fenton (Scott) has an overactive imagination and suspects the worst when she fails to meet new neighbor Mrs. Blanchard after a couple of weeks, so she breaks into the Blanchard home late at night after the maid (Hardt) leaves and is caught by Charles Blanchard (Lummis), the husband. While imagining what gruesome outcome could have befallen Mrs. Blanchard, she is suddenly visited by the woman in question, Ellen (Mundy), who is perfectly pleasant. She continues to be suspicious when Charles acts strangely around Ellen, who assures Babs that Charles just hates being home without her. Babs even types about scenarios involving Charles killing Ellen. However, every time that Babs thinks that she has figured out the truth, she is proven wrong, and Ellen is always fine.
",169
11,"Young gangster Art (Vaughn) is ordered by his new boss Barberosa (White) to prove himself and earn a promotion by delivering $10,000 and then killing the recipient named Moran (Matthau). Art goes to do the deed, but Moran holds Art at gunpoint (in his cellar) in order to get his money. With Moran now relaxed, the two men share a drink as Moran denigrates Barberosa's methods and lauds Art's guts and ambition. Moran suggests that Art kill Barberosa instead and offers money (initially $5000, but Art presses for $10,000) to help Moran take over the organization, with Art then serving as a ""right-hand man"". When Art agrees, Moran kills him; the counteroffer was a test set by Barberosa and Art's gun was empty.
",171
12,"Successful businessman Eddie Slovak (Nicol) has a good life with his wife, Faye (Mathews), but is haunted by his past. He once acted cowardly in the Korean War and seeks out his old Army buddy Pete Williams (Keefer), who knows his secret. Pete repeatedly rebuffs Eddie's attempts to pay him, to Eddie's frustration. Eddie begins an affair with Pete's wife, Louise (Talbot), and one night Eddie, triggered by a picture of Pete in his Army uniform, loses his mind and strangles her. When Pete comes home, Eddie begs him to tell the police that a prowler was responsible, but Pete refuses, and when the officer (Ford) arrives, he tells them the truth. Eddie is arrested for murder, and this leaves Pete and Faye, who are lovers, to be together.
",172
13,"When Jan Manning (Olson) hits financial problems with her dress shop and cannot borrow any more money from bank manager Michael Selwin (Bryan), her friend Mel Reeves (Meeker) offers to burn down the shop so that she can collect the insurance money from the fire. Later, Jan gets quite drunk, leading her sister (Lord) to be concerned for her. After the shop burns down that very night and employee Evelyn (Storey) suffers third-degree burns as a result, Jan confesses to insurance investigator Frank Voss (Willock) about the plan with her friend Reeves. However, the investigator has found that the fire source was actually Jan's overheated kettle, which was accidentally set for 1:00 AM instead of 1:00 PM. Jan realizes that it truly was an accident, but the investigator does not believe her.
",172
14,"Louisiana. Publisher Alexander Vinton (Williams) takes a cab from gossip cab driver Barney (Peters) about sisters Julia Pickering (Collinge) and Cordelia Welles (Varden) and their background regarding romantic suitors. Vinton suspects that the novel Julia has written is based on a true story of how her domineering sister Cordelia had killed her husband, and Vinton stays in the room described as the murder scene. Julia had to write the book behind Cordelia's back, as Cordelia does not approve. Vinton evens digs in Cordelia's rose garden looking for the body. Vinton encourages Julia to stand up to her dominating sister, eventually drawing out a confession of the murder, which Vinton overhears. Cordelia murdered her husband and buried him in the other garden, and she always grows prize-winning roses.
",173
15,"Carl (Merill) climbs out a window onto the ledge of a high-rise Chicago hotel as people (Melton, Rennie, and Field) gather and talk, some in horror and others desiring to see death. He is disconsolate over his wife Karen (Montgomery)'s recent death; she committed suicide by overdosing on pills when her lover abandoned her. After some banter and finally with the permission of his lieutenant (Lynch), the patrolman on duty (Richman), joins Carl on the ledge to rescue him, but this turns out to fulfill Carl's plot: this police officer is Steve, Karen's lover; he had recently spurned her precipitating her suicide. Once Carl is secured by a rope lasso, he tells Steve of the plot and who he really is, then pushes Steve off the ledge to his death. 
",175
16,"Loretta Burns (Shane) is under the mistaken impression that her husband Frank (Conte) is really a former engineer. Frank is actually a hit man who is being extorted by newspaper man Cullen (Harris) for over $40,000. Frank calls his former boss Nicholson (Anderson) for help (""an engineer"") regarding the blackmail situation. Nicholson sends Mace (Carlyle) to help Frank make it look like Cullen drowns, but Mace is actually working with Cullen, who had called Nicholson first. When Cullen threatens to tell Loretta about Frank's past, Frank drowns both Mace and Cullen. Hearing the news, Nicholson shows up at Frank's lakeside home and insists that Frank return to work. He tells Frank that if he doesn't, his wife may end up getting rubbed out. 
",177
17,"Herbert Johnson (Stehli) tries to convince the authorities that the final murder of the Stockings Murders was committed by a copycat, but no one takes him seriously. He tells a police sergeant (Lummis) and lieutenant (Williams), a journalist (Herrman), and a bartender (Barron), but all dismiss him. He even sees a similar appearance in one of the women in the bar, Slats (Loughery), to one of the victims. A priest, Father Rafferty (Lane), finally listens to Herbert's story about how the victim, Helen Jameson, left her controlling, religious parents for a life of ""sin"", and her death was a ""punishment"". Herbert is Helen's father, and his wife (Evanson) is the copycat who killed Helen, but Herbert is unable to accuse his wife openly.
",178
18,"Norman Logan (York) has for months been pestering William Tritt (Coolidge), a banker, to return $200 that Tritt mistakenly took from Logan's account, but to no avail. Logan sends Tritt notes and hounds him at his residence. Frustrated, Logan carries out a series of pranks (he buys a toy gun and orders Tritt to get him $10,000 and then hides the gun in a drawer on multiple occasions) to make Tritt lose his credibility at the bank. He comes into the bank every day and whistles Christmas tunes to tear at Tritt's nerves. Logan's final act is to actually rob the bank of $10,000, which Tritt is blamed for. Afterward, Logan returns the money in Tritt's name, except for $200 to replace the money that Tritt took from him.
",178
19,"Blackheath, 1903. Former Inspector Brent (Williams) conspires with friends, staff, and Police Major Cook-Finch (Gardiner) to stage a fake haunting in the hopes of scaring John Bedford (Haigh) into confessing to the murder of his aunt, Ms. Ferguson. Brent invites Bedford to attend dinner on the anniversary of the murder as there is supposedly new incriminating evidence to be revealed. Brent arranges for an actress, Mae Thorpe (Plowright), to sneak into the house dressed as Ms. Ferguson and walk past their dinner room when the main course is being served. The plan is successful, and Bedford explosively confesses when he sees the menacing figure of his aunt. After Bedford is arrested by police Sergeant Balton (Dillon), Brent is shocked when he learns that Mae Thorpe was late and missed the dinner entirely.
",179
20,"After murdering his spouse (Larabee), Sam Jacoby (Wayne) has trouble disposing of the body. He wraps up the body and places it in his car's trunk and drives to dispose of it in a nearby lake. However, he is stopped by a motorcycle cop (Brodie) because of his faulty taillight, and the cop helpfully points Jacoby to a local gas station, where the attendant Ed (Leavitt) replaces the bulb, but even it won't work initially. The bulb finally works just as the cop is about to pry open the trunk with a crowbar, and Jacoby heads onward. The cop pulls Jacoby over once more as Jacoby forgot to get change while at the gas station, and upon seeing that the light is out again, detours him to the nearby police headquarters so that their mechanic can open the trunk and fix it.
",181
21,"Mabel McKay (Evelyn) is fascinated by a movie star named Martha Mason and sees her movies dutifully. Mabel believes that her husband Henry (Emhardt) is in the way of her dreams of glamour, so she kills him with a hammer and buries him in their garden while narrating herself as the true victim. When Henry's boss Mr. Abernathy (Hayworth) calls the next morning, she sets up a story that Henry left her for another woman. She even writes a fake goodbye letter from Henry that is all about supporting Mabel's own ego and vanity, and Abernathy refuses to believe that Henry wrote it. The police detective's (Lane) investigation reveals that there was indeed another woman named Cora (Norris), but Cora has no idea where Henry is. This prompts the police to check Mabel's house, and they discover Henry's body.
",184
22,"Has-been actor Oliver Mathews (Tone) is being blackmailed weekly by Grace Dolan (Astor) for an affair he had with Grace's late daughter Janice. The blackmail scheme has broken Oliver financially, yet Grace continues to push him by threatening to reveal his seductive letters written to Janice. Having had enough, Oliver murders Grace with poisoned alcohol and dumps her body in deep water, an act that is hazily witnessed by a young woman (Lloyd). Oliver's assistant, Miss Hall (Mathews), who is in love with Oliver but has been rebuffed for years, uses her instincts to read Oliver's mood and follows him the night of the murder. Having been so in love with him as to write fan letters and pay others to do the same to boost his ego, she only requests him to have a relationship with her in order to keep her from going to the authorities.
",184
23,"District Attorney Martin Ross (Dano) faces a crisis in his campaign for governor when his brother Richard (Townes), a construction company owner, shoots and kills the competition, three-term legislator Burton Reeves, with the death being confirmed by Sheriff Briggs (Teal). When Martin talks about resigning and turning in his brother, Richard threatens to kill Martin's wife, Laura (Stevens), with the same gun used to kill Reeves. Martin makes a deal with eighteen-year-old Tommy Kopeck (Ellis), his oft-used caddy, to temporarily confess to the murder in order to save Laura's life, as Sheriff Briggs has already arrested Tommy for the murder. After Martin returns home, he attacks Richard to seize the gun but is knocked out. Tommy's mother (Golm), mistaking Richard for Martin, begs him to release Tommy, and when Richard refuses, she stabs him to death.
",185
24,"Irving Randall (Smith) loses his weekly work wages ($96) in a poker game to his unsympathetic boss Smalley (Buffington), whom he previously admired, and then lies to his pregnant wife Frances (Meadows) that he was mugged while going to collect vouchers from his boss' house. Irving reluctantly makes a police report at Frances' insistence and is surprised when the police arrest a teenage boy named Whitey (Martin) as a suspect. Irving hesitantly takes Whitey's money ($92) but feels guilty and conflicted, and he refuses to press charges. He and Whitey separate on amicable terms. The next day, Irving learns that Whitey had mugged Smalley, and the money that he had was Smalley's poker winnings (largely won from Irving). When Smalley requests a few dollars until payday, Irving declines with the excuse that he's a married man.
",188
25,"The Templetons (McGuire and Leachman) are on a train with their young son, Johnny (Lazer), who they have trouble controlling. When they get settled in their car, a radio announcement mentions that a mental patient has escaped from an institution. The train generator goes out in a blizzard, and the train conductor (Mulhall) tells them that it will be fifteen minutes or so before they get moving again. The Templetons offer Johnny one silver dollar if he can be quiet for 10 minutes while elderly cowboy Mr. Kilmer (Wills) tells a story. When the train stops, Johnny sees a man outside the window, caught in the blizzard and begging for help, but Johnny cannot speak up, having promised not to. Johnny receives the silver dollar, but he drops it, and attendant Timothy (Crothers) collects and keeps it, despite a slight protest from the bartender (Glenn).
",188
26,"Real estate salesman Herbert Brenner (Collins) threatens to take sisters Cissie (Stickney) and Joanna Enright (Matthews) to court unless they sell him their home. Herbert brags to his local bank teller (Stanhope) about the power he holds over them and the house, as Herbert wants to tear down the house for the value of the land upon which it sits. The cruel and domineering Joanna orders Cissie to poison Brenner through tea, but Cissie allows him to live just long enough so that he can shoot Joanna dead before Cissie poisons his glass of whiskey, and Cissie even confesses to the dying Brenner that Joanna isn't really her sister but is a nurse named Abigail who showed up thirty years before, when Cissie's mother was dying. Thusly Cissie is left alone with the house that she so dearly loves. 
",189
27,"Bill Fleming (Douglas), former professional prizefighter, is upset that his wife, Laura, is cheating on him with a man named Baxter. Bill's new friend, Phil (Morse), points out a Californian law on duels that could work in his favor (as ""an affair of honor""), and Phil offers to act as his attorney in order to obtain an acquittal. Bill challenges Baxter to a duel (on Phil's urging) and kills him in his home and in front of his wife. Bill goes to the police station and confesses to his police officer friend. Bill is acquitted but has to pay a hefty allowance ($100,000 up front plus extra per month for life) to Baxter's only child for life. Bill then learns that Phil is Baxter's son (Phillip Baxter, Jr.) and is also Laura's lover; Phil and Laura plotted together to gain Bill's money and get Baxter out of the way.
",190
28,"Karen Stewart (Thaxter), a recovering alcoholic, wakes up hung over and with no memory of the night before. She slowly recalls speaking with friend Margaret (Banks) before attending a party with her fianc, Jeff Simmons (Stevens). Karen, jealous and insecure, started drinking again with a Mr. Marlow (Mullaney) when she concludes (from drunken rambling via Marlow) that Jeff's business associate (and Marlow's sister) Renee (Allbritton) is trying to seduce Jeff, even though Renee and the bartender (Ramstead) try to serve her ginger ale. Others, such as Mr. Sterling (Curry), constantly try to hand her alcohol, not knowing her addiction. Her last memory is of breaking a glass in her hand and Jeff trying to help her. Karen then learns from the nurse (Veazie) that she is in jail for killing Jeff with that broken glass.
",191
29,"Taxidermist George Tiffany (Jones) sells a ram's head to a customer (Stone) when interested youth Charlie (Clark) arrives to inquire about the process of taxidermy, as he is interested in becoming an apprentice. George is distressed when his wife Louise (Dunnock) invites her good-for-nothing brother Waldren (Buffington) into their home, as the siblings have been apart for twenty-five years. Waldren constantly pretends to be sick, refuses to work, and has Louise waiting on him hand and foot. When Dr. Rhody (Thorson) declares that Louise has succumbed to exhaustion and admits her to the hospital, George kills Waldren and stuffs him inside the mayor's (Watts) recently deceased horse, Napoleon, that is being prepared for the West Worlock town memorial and associated time capsule in a celebration; the movers (Philbrook) note how much heavier the load is than they thought that it would be.
",195
30,"Cash Bentley (Merrill) is a former champion hurdler who is bitter that his glory days have passed as he describes the ""river as flowing backward"" to friend Jim (Lewis) at a party. Despite his wife Louise's (Breslin) protests and Cash's physical limitations, Cash keeps racing whenever he is taunted by others, even friends such as Archie (Manson) and George (Manlove). They set up makeshift hurdles in a club evening room, and Cash runs the race to their delight. They then return home to relieve babysitter Cathy and boyfriend Eric, with Cash drunkenly setting up furniture to hurdle before breaking his leg. The doctor (Newton) tells Cash that he will never hurdle again. Cash attempts to hurdle at the next club party, but he is grabbed by Louise. One night, Cash gives Louise his gun and orders her to fire it so he can race one more time. Louise, unfamiliar with guns, accidentally shoots him.
",195
