samples,langs
"const chalk = require('chalk');
const Sequelize = require('sequelize');

// db server constant(s)
const dbName = 'relationshipVisualizer';
// +(process.env.NODE_ENV === 'testing' ? '_test' : '');
const url = process.env.DATABASE_URL || `postgres://localhost:5432/${dbName}`;

// notify the user we're about to do it
console.log(chalk.yellow(`Opening database connection to ${url}`))

// init the db
const db = new Sequelize(url, {
  define: {
    freezeTableName: true   // don't go changing my table names sequelize!
  },
  logging: false
});

module.exports = db;
",JavaScript
"const elixir = require('laravel-elixir');

elixir((mix) => {
    // Mix all Sass files into one
    mix.sass('app.scss');

    // Mix all vendor scripts together
    mix.scripts(
        [
            'jquery/dist/jquery.min.js',
            'bootstrap-sass/assets/javascripts/bootstrap.min.js',
            'bootstrap-sass/assets/javascripts/bootstrap/dropdown.js'
        ],
        'resources/assets/js/vendor.js',
        'node_modules'
    );

    // Mix all script files into one
    mix.scripts(
        ['vendor.js', 'app.js'],
        'public/js/app.js'
    );

    // Copy vendor assets to public
    mix.copy('node_modules/bootstrap-sass/assets/fonts/bootstrap/','public/fonts/bootstrap')
       .copy('node_modules/font-awesome/fonts', 'public/fonts');
});




/*
var elixir = require('laravel-elixir');

elixir(function(mix) {
    // Mix all scss files into one css file
    mix.sass([
        'charts.scss',
        'app.scss'
    ], 'public/css/app.css');

    // Mix all chart JS files into a master charts file
    mix.scriptsIn(
        'resources/assets/js/charts', 
        'public/js/charts.js'
    );

    // Mix common JS files into one file
    mix.scripts([
        'app.js'
    ], 'public/js/app.js');
});
*/

",JavaScript
"// Release 1: User Stories
// As a user, I want to be able to create a new grocery list. After that, I need to be able to add an item with a quantity to the list, remove an item, and update the quantities if they change. I need a way to print out the list in a format that is very readable.

// Release 2: Pseudocode
// input: string of items separated by spaces
// output: object
// create a new object as new variable
// convert string to array (split)
// take each item in array and add to object as a property with a default quantity/value of 1
//

// Release 3: Initial Solution
// function to create list
// var foodList = (""salmon iceCream macAndCheese"")
// var groceryList = {};

// var createList = function(foodList) {
//   var foodArray = foodList.split("" "");
//   for (var i = 0; i < foodArray.length; i++){
//     groceryList[(foodArray[i])] = 1;
//   }
//   console.log(groceryList);
// }

// createList(foodList)

// // function to add item to list

// var addItem = function(newItem) {
//   groceryList[newItem] = 1;
//   console.log(groceryList);
// }

// addItem(""peas"")


// // function to remove item from list

// var removeItem = function(itemToLose) {
//   delete groceryList[itemToLose];
//   console.log(groceryList);
// }

// removeItem(""peas"")

// // function to update quantity

// var updateList = function(updateItem, newQuantity) {
//   groceryList[updateItem] = newQuantity;
//   console.log(groceryList);
// }

// updateList(""macAndCheese"", 5)

// // function to display list

// var displayList = function(groceryList) {
//   for (food in groceryList) {
//     console.log(food + "": "" + groceryList[food]);
//   }
// }

// displayList(groceryList)

// Release 4: Refactor
// function to create list

var groceryList = {};
var displayList = function(groceryList) {
  console.log(""Your Grocery List:"")
  for (food in groceryList) {
    console.log(food + "": "" + groceryList[food]);
  }
  console.log(""----------"")
}

var createList = function(foodList) {
  var foodArray = foodList.split("" "");
