text,label
"FINAL DIAGNOSES:,1.  Herniated nucleuses pulposus, C5-6 greater than C6-7, left greater than C4-5 right with left radiculopathy.,2.  Moderate stenosis C5-6.,OPERATION: , On 06/25/07, anterior cervical discectomy and fusions C4-5, C5-6, C6-7 using Bengal cages and Slimlock plate C4 to C7; intraoperative x-ray.,This is a 60-year-old white male who was in the office on 05/01/07 because of neck pain with left radiculopathy and ""tension headaches.""  In the last year or so, he has had more and more difficulty and more recently has developed tingling and numbness into the fingers of the left hand greater than right.  He has some neck pain at times and has seen Dr. X for an epidural steroid injection, which was very helpful.  More recently he saw Dr. Y and went through some physical therapy without much relief.,Cervical MRI scan was obtained and revealed a large right-sided disc herniation at C4-5 with significant midline herniations at C5-6 and a large left HNP at C6-7.  In view of the multiple levels of pathology, I was not confident that anything short of surgical intervention would give him significant relief.  The procedure and its risk were fully discussed and he decided to proceed with the operation.,HOSPITAL COURSE: , Following admission, the procedure was carried out without difficulty.  Blood loss was about 125 cc.  Postop x-ray showed good alignment and positioning of the cages, plate, and screws.  After surgery, he was able to slowly increase his activity level with assistance from",Neurosurgery
"CHIEF COMPLAINT:  ,Leaking nephrostomy tube.,HISTORY OF PRESENT ILLNESS: , This 61-year-old male was referred in today secondary to having urine leaked around the ostomy site for his right sided nephrostomy tube.  The leaking began this a.m.  The patient denies any pain, does not have fever and has no other problems or complaints.  The patient had bilateral nephrostomy tubes placed one month ago secondary to his prostate cancer metastasizing and causing bilateral ureteral obstructions that were severe enough to cause acute renal failure.  The patient states he feels like his usual self and has no other problems or concerns.  The patient denies any fever or chills.  No nausea or vomiting.  No flank pain, no abdominal pain, no chest pain, no shortness of breath, no swelling to the legs.,REVIEW OF SYSTEMS: , Review of systems otherwise negative and noncontributory.,PAST MEDICAL HISTORY: , Metastatic prostate cancer, anemia, hypertension.,MEDICATIONS: , Medication reconciliation sheet has been reviewed on the nurses' note.,ALLERGIES: , NO KNOWN DRUG ALLERGIES.,SOCIAL HISTORY: , The patient is a nonsmoker.,PHYSICAL EXAMINATION:  ,VITAL SIGNS:  Temperature 97.7 oral, blood pressure 150/85, pulse is 91, respirations 16, oxygen saturation 97% on room air and interpreted as normal.  CONSTITUTIONAL:  The patient is well nourished, well developed, appears to be healthy, calm, comfortable, no acute distress, looks well.  HEENT:  Eyes are normal with clear sclerae and cornea.  NECK:  Supple, full range of motion.  CARDIOVASCULAR:  Heart has regular rate and",Consult-HistoryandPhy.
"CHIEF COMPLAINT: , Newly diagnosed T-cell lymphoma.,HISTORY OF PRESENT ILLNESS: , The patient is a very pleasant 40-year-old gentleman who reports swelling in his left submandibular region that occurred all of a sudden about a month and a half ago.  He was originally treated with antibiotics as a possible tooth abscess.  Prior to this event, in March of 2010, he was treated for strep throat.  The pain at that time was on the right side.  About a month ago, he started having night sweats.  The patient reports feeling hot, when he went to bed he fall asleep and would wake up soaked.  All these symptoms were preceded by overwhelming fatigue and exhaustion.  He reports being under significant amount of stress as he and his mom just recently moved from their house to a mobile home.  With the fatigue, he has had some mild chest pain and shortness of breath, and has also noted a decrease in his appetite, although he reports his weight has been stable.  He also reports occasional headaches with some stabbing and pain in his feet and legs.  He also complains of some left groin pain.,PAST MEDICAL HISTORY: , Significant for HIV diagnosed in 2000.  He also had mononucleosis at that time.  The patient reports being on anti-hepatitis viral therapy period that was very intense.  He took the meds for about six months, he reports stopping, and prior to 2002 at one point during",Hematology-Oncology
"PREOPERATIVE DIAGNOSES:,1.  Chronic renal failure.,2.  Thrombosed left forearm arteriovenous Gore-Tex bridge fistula.,POSTOPERATIVE DIAGNOSIS:,1.  Chronic renal failure.,2.  Thrombosed left forearm arteriovenous Gore-Tex bridge fistula.,PROCEDURE PERFORMED:,1.  Fogarty thrombectomy, left forearm arteriovenous Gore-Tex bridge fistula.,2.  Revision of distal anastomosis with 7 mm interposition Gore-Tex graft.,ANESTHESIA:,  General with controlled ventillation.,GROSS FINDINGS: , The patient is a 58-year-old black male with chronic renal failure.  He undergoes dialysis through the left forearm bridge fistula and has small pseudoaneurysms at the needle puncture sites level.  There is narrowing at the distal anastomosis due to intimal hypoplasia and the vein beyond it was of good quality.,OPERATIVE PROCEDURE: , The patient was taken to the OR suite, placed in supine position.  General anesthetic was administered.  Left arm was prepped and draped in appropriate manner.  A Pfannenstiel skin incision was created just below the antecubital crease just deeper to the subcutaneous tissue.  Utilizing both blunt and sharp dissections segment of the fistula was isolated ________ vessel loop.  Transverse graftotomy was created.  A #4 Fogarty catheter passed proximally and distally restoring inflow and meager inflow.  A fistulogram was performed and the above findings were noted.  In a retrograde fashion, the proximal anastomosis was patent.  There was no narrowing within the forearm graft.  Both veins were flushed with heparinized saline and controlled with a vascular clamp.  A longitudinal incision was then created in the upper arm just deep into the subcutaneous tissue",Surgery
"SUBJECTIVE:,  The patient is a 44-year-old white female who is here today with multiple problems.  The biggest concern she has today is her that left leg has been swollen.  It is swollen for three years to some extent, but worse for the past two to three months.  It gets better in the morning when she is up, but then through the day it begins to swell again.  Lately it is staying bigger and she somewhat uncomfortable with it being so large.  The right leg also swells, but not nearly like the left leg.  The other problem she had was she has had pain in her shoulder and back.  These occurred about a year ago, but the pain in her left shoulder is of most concern to her.  She feels like the low back pain is just a result of a poor mattress.  She does not remember hurting her shoulder, but she said gradually she has lost some mobility.  It is hard time to get her hands behind her back or behind her head.  She has lost strength in the left shoulder.  As far as the blood count goes, she had an elevated white count.  In April of 2005, Dr. XYZ had asked Dr. XYZ to see her because of the persistent leukocytosis; however, Dr. XYZ felt that this was not a problem for the patient and asked her to just return here for follow up. ",SOAP/Chart/ProgressNotes
"PROCEDURES PERFORMED:,1.  Functional endoscopic sinus surgery.,2.  Bilateral maxillary antrostomy.,3.  Bilateral total ethmoidectomy.,4.  Bilateral nasal polypectomy.,5.  Right middle turbinate reduction.,ANESTHESIA:,  General endotracheal tube.,BLOOD LOSS:,  Approximately 50 cc.,INDICATION: , This is a 48-year-old female with a history of chronic sinusitis as well as nasal polyposis that have been refractory to outpatient medical management.  She has underwent sinus surgery in the past approximately 12 years ago with the CT evaluation revealed evidence of chronic mucosal thickening within the maxillary and ethmoid sinuses as well as the presence of polyposis within the nasal cavities bilaterally.,PROCEDURE:  ,After all risks, benefits, and alternatives have been discussed with the patient in detail, informed consent was obtained.  The patient was brought to the operative suite where she was placed in supine position and general anesthesia was delivered by the Department of Anesthesia.  The patient was rotated 90 degrees away where cotton pledgets saturated with 4 cc of 10% cocaine solution were inserted into the nasal cavity.  The nasal septum, as well as the turbinates were then localized with a mixture of 1% lidocaine with 1:100,000 epinephrine solution.  The patient was then prepped and draped in the usual fashion.,Attention was directed first to the left nasal cavity.  A zero-degree sinus endoscope was inserted into the nasal cavity down to the level of the nasopharynx.  The initial examination revealed a gross polypoid disease emanating from the sphenoid sinuses as well as off the supreme turbinate.",Surgery
"PREOPERATIVE DIAGNOSES:,1.  Need for intravenous access.,2.  Status post fall.,3.  Status post incision and drainage of left lower extremity.,POSTOPERATIVE DIAGNOSES:,1.  Need for intravenous access.,2.  Status post fall.,3.  Status post incision and drainage of left lower extremity.,PROCEDURE PERFORMED: , Insertion of right subclavian central venous catheter.,SECOND ANESTHESIA: , Approximately 10 cc of 1% lidocaine.,ESTIMATED BLOOD LOSS: , Minimal.,INDICATIONS FOR PROCEDURE:  ,The patient is a 74-year-old white female who presents to ABCD General Hospital after falling down flight of eleven stairs and sustained numerous injuries.  The patient went to OR today for an I&D of left lower extremity degloving injury.  Orthopedics was planning on taking the patient back for serial debridements and need for reliable IV access is requested.,PROCEDURE: , Informed consent was obtained by the patient and her daughter.  All risks and benefits of the procedure were explained and all questions were answered.  The patient was prepped and draped in the normal sterile fashion.  After landmarks were identified, approximately 5 cc of 1% lidocaine were injected into the skin and subcuticular tissues and the right neck posterior head of the sternocleidomastoid.  Locator needle was used to correctly cannulate the right internal jugular vein.  Multiple attempts were made and the right internal jugular vein was unable to be cannulized.,Therefore, we prepared for a right subclavian approach.  The angle of the clavicle was found and a #22 gauge needle was used to anesthetize approximately 5 cc of 1% lidocaine",Surgery
"PREOPERATIVE DIAGNOSES: , Cervical disk protrusions at C5-C6 and C6-C7, cervical radiculopathy, and cervical pain.,POSTOPERATIVE DIAGNOSES:,  Cervical disk protrusions at C5-C6 and C6-C7, cervical radiculopathy, and cervical pain.,PROCEDURES:,  C5-C6 and C6-C7 anterior cervical discectomy (two levels) C5-C6 and C6-C7 allograft fusions.  A C5-C7 anterior cervical plate fixation (Sofamor Danek titanium window plate) intraoperative fluoroscopy used and intraoperative microscopy used.  Intraoperative SSEP and EMG monitoring used.,ANESTHESIA: , General endotracheal.,COMPLICATIONS:,  None.,INDICATION FOR THE PROCEDURE: , This lady presented with history of cervical pain associated with cervical radiculopathy with cervical and left arm pain, numbness, weakness, with MRI showing significant disk protrusions with the associate complexes at C5-C6 and C6-C7 with associated cervical radiculopathy.  After failure of conservative treatment, this patient elected to undergo surgery.,DESCRIPTION OF PROCEDURE:  ,The patient was brought to the OR and after adequate general endotracheal anesthesia, she was placed supine on the OR table with the head of the bed about 10 degrees.  A shoulder roll was placed and the head supported on a donut support.  The cervical region was prepped and draped in the standard fashion.  A transverse cervical incision was made from the midline, which was lateral to the medial edge of the sternocleidomastoid two fingerbreadths above the right clavicle.  In a transverse fashion, the incision was taken down through the skin and subcutaneous tissue and through the platysmata and a subplatysmal dissection done.  Then, the dissection continued medial to the sternocleidomastoid muscle and then",Orthopedic
"PREOPERATIVE DIAGNOSES:,1.  Epidural hematoma, cervical spine.,2.  Status post cervical laminectomy, C3 through C7 postop day #10.,3.  Central cord syndrome.,4.  Acute quadriplegia.,POSTOPERATIVE DIAGNOSES:,1.  Epidural hematoma, cervical spine.,2.  Status post cervical laminectomy, C3 through C7 postop day #10.,3.  Central cord syndrome.,4.  Acute quadriplegia.,PROCEDURE PERFORMED:,1.  Evacuation of epidural hematoma.,2.  Insertion of epidural drain.,ANESTHESIA: , General.,COMPLICATIONS:  ,None.,ESTIMATED BLOOD LOSS:  ,200 cc.,HISTORY:  ,This is a 64-year-old female who has had an extensive medical history beginning with coronary artery bypass done on emergent basis while she was in Maryland in April of 2003 after having myocardial infarction.  She was then transferred to Beaumont Hospital, at which point, she developed a sternal abscess.  The patient was treated for the abscess in Beaumont and then subsequently transferred to some other type of facility near her home in Warren, Michigan at which point, she developed a second what was termed minor myocardial infarction.,The patient subsequently recovered in a Cardiac Rehab Facility and approximately two weeks later, brings us to the month of August, at which time she was at home ambulating with a walker or a cane, and then sustained a fall and at that point she was unable to walk and had acute progressive weakness and was identified as having a central cord syndrome based on an MRI, which showed record signal change.  The patient underwent cervical laminectomy and seemed to be improving subjectively in terms of neurologic recovery, but objectively there",Neurosurgery
"PREOPERATIVE DIAGNOSIS: , External iliac artery stenosis supplying recently transplanted kidney with renovascular hypertension and impaired renal function.,POSTOPERATIVE DIAGNOSIS:,  External iliac artery stenosis supplying recently transplanted kidney with renovascular hypertension and impaired renal function.,PROCEDURES:,1.  Placement of right external iliac artery catheter via left femoral approach.,2.  Arteriography of the right iliac arteries.,3.  Primary open angioplasty of the right iliac artery using an 8 mm diameter x 3 cm length angioplasty balloon.,3.  Open stent placement in the right external iliac artery for inadequate angiographic result of angioplasty alone.,ANESTHESIA: , Local with intravenous sedation.,INDICATION FOR PROCEDURE:,  He is a 67-year-old white male who is well known to me.  He had severe peripheral vascular disease and recently underwent a kidney transplant.  He has had some troubles with increasing serum creatinine and hypertension.  Duplex suggests a high-grade iliac stenosis just proximal to his transplant kidney.  He is brought to the operating room for arteriography and potential treatment of this.,DESCRIPTION OF PROCEDURE: , The patient was brought to operating room #14.  A condom catheter was put in place.  Preoperative antibiotics were administered.  The patient's left arm was prepped and draped in the usual sterile fashion.  An incision was made over his brachial artery after anesthetizing the skin.  His brachial artery was dissected free and looped with vessel loops.  Under direct vision, it was punctured with an 18-gauge needle and a short 3J guidewire and 6-French sheath put in place. ",Surgery
"REASON FOR VISIT: , Followup circumcision.,HISTORY OF PRESENT ILLNESS: , The patient had his circumcision performed on 09/16/2007 here at Children's Hospital.  The patient had a pretty significant phimosis and his operative course was smooth.  He did have a little bit of bleeding when he woke in recovery room, which required placement of some additional sutures, but after that, his recovery has been complete.  His mom did note that she had to him a couple of days of oral analgesics, but he seems to be back to normal and pain free now.  He is having no difficulty urinating, and his bowel function remains normal.,PHYSICAL EXAMINATION:  ,Today, The patient looks healthy and happy.  We examined his circumcision site.  His Monocryl sutures are still in place.  The healing is excellent, and there is only a mild amount of residual postoperative swelling.  There was one area where he had some recurrent adhesions at the coronal sulcus, and I gently lysed this today and applied antibiotic ointment showing this to mom had to especially lubricate this area until the healing is completed.,IMPRESSION: , Satisfactory course after circumcision for severe phimosis with no perioperative complications.,PLAN:  ,The patient came in followup for his routine care with Dr. X, but should not need any further routine surgical followup unless he develops any type of difficulty with this surgical wound.  If that does occur, we will be happy to see him back at any time.,",SOAP/Chart/ProgressNotes
"HISTORY: , The patient is a 4-day-old being transferred here because of hyperbilirubinemia and some hypoxia.  Mother states that she took the child to the clinic this morning since the child looked yellow and was noted to have a bilirubin of 23 mg%.  The patient was then sent to Hospital where she had some labs drawn and was noted to be hypoxic, but her oxygen came up with minimal supplemental oxygen.  She was also noted to have periodic breathing.  The patient is breast and bottle-fed and has been feeding well.  There has been no diarrhea or vomiting.  Voiding well.  Bowels have been regular.,According to the report from referring facility, because the patient had periodic breathing and was hypoxic, it was thought the patient was septic and she was given a dose of IM ampicillin.,The patient was born at 37 weeks' gestation to gravida 3, para 3 female by repeat C-section.  Birth weight was 8 pounds 6 ounces and the mother's antenatal other than was normal except for placenta previa.  The patient's mother apparently went into labor and then underwent a cesarean section.,FAMILY HISTORY: , Positive for asthma and diabetes and there is no exposure to second-hand smoke.,PHYSICAL EXAMINATION: , ,VITAL SIGNS:  The patient has a temperature of 36.8 rectally, pulse of 148 per minute, respirations 50 per minute, oxygen saturation is 96 on room air, but did go down to 90 and the patient was given 1 liter by nasal",Pediatrics-Neonatal
"PAST MEDICAL HISTORY: , Her medical conditions driving her toward surgery include hypercholesterolemia, hypertension, varicose veins, prior history of stroke.  She denies any history of cancer.  She does have a history of hepatitis which I will need to further investigate.  She complains of multiple joint pains, and heavy snoring.,PAST SURGICAL HISTORY: , Includes hysterectomy in 1995 for fibroids and varicose vein removal.  She had one ovary removed at the time of the hysterectomy as well.,SOCIAL HISTORY:,  She is a single mother of one adopted child.,FAMILY HISTORY:  ,There is a strong family history of heart disease and hypertension, as well as diabetes on both sides of her family.  Her mother is alive.  Her father is deceased from alcohol.  She has five siblings.,MEDICATIONS: , As you know she takes the following medications for her diabetes, insulin 70 units/6 units times four years, aspirin 81 mg a day, Actos 15 mg, Crestor 10 mg and CellCept 500 mg two times a day.,ALLERGIES: , She has no known drug allergies.,PHYSICAL EXAM: , She is a 54-year-old obese female.  She does not appear to have any significant residual deficits from her stroke.  There may be slight left arm weakness.,ASSESSMENT/PLAN:,  We will have her undergo routine nutritional and psychosocial assessment.  I suspect that we can significantly improve the situation with her insulin and oral hypoglycemia, as well as hypertension, with significant weight loss.  She is otherwise at increased risk for future complications",Bariatrics
"PREOPERATIVE DIAGNOSIS: , Persistent pneumonia, right upper lobe of the lung, possible mass.,POSTOPERATIVE DIAGNOSIS: , Persistent pneumonia, right upper lobe of the lung, possible mass.,PROCEDURE:,  Bronchoscopy with brush biopsies.,DESCRIPTION OF PROCEDURE: , After obtaining an informed consent, the patient was taken to the operating room where he underwent a general endotracheal anesthesia.  A time-out process had been followed and then the flexible bronchoscope was inserted through the endotracheal tube after 2 cc of 4% lidocaine had been infused into the endotracheal tube.  First the trachea and the carina had normal appearance.  The scope was passed into the left side and the bronchial system was found to be normal.  There were scars and mucoid secretions.  Then the scope was passed into the right side where brown secretions were obtained and collected in a trap to be sent for culture and sensitivity of aerobic and anaerobic fungi and TB.  First, the basal lobes were explored and found to be normal.  Then, the right upper lobe was selectively cannulated and no abnormalities were found except some secretions were aspirated.  Then, the bronchi going to the three segments were visualized and no abnormalities or mass were found.  Brush biopsy was obtained from one of the segments and sent to Pathology.,The procedure had to be interrupted several times because of the patient's desaturation, but after a few minutes of Ambu bagging, he recovered satisfactorily.,At the end, the patient tolerated the procedure well and was sent",Surgery
"PROCEDURE: , Left heart catheterization, coronary angiography, left ventriculography.,COMPLICATIONS: , None.,PROCEDURE DETAIL: , The right femoral area was draped and prepped in the usual fashion after Xylocaine infiltration.  A 6-French arterial sheath was placed in the usual fashion.  Left and right coronary angiograms were then performed in various projections after heparin was given 2000 units intraaortic.  The right coronary artery was difficult to cannulate because of its high anterior takeoff.  This was nondominant.  Several catheters were used.  Ultimately, an AL1 diagnostic catheter was used.  A pigtail catheter was advanced across the aortic valve.  Left ventriculogram was then done in the RAO view using 30 mL of contrast.  Pullback gradient was obtained across the aortic valve.  Femoral angiogram was performed through the sheath which was above the bifurcation, was removed with a Perclose device with good results.  There were no complications.  He tolerated this procedure well and returned to his room in good condition.,FINDINGS,1.  Right coronary artery:  This has an unusual high anterior takeoff.  The vessel is nondominant, has diffuse mild-to-moderate disease.,2.  Left main trunk:  A 30% to 40% distal narrowing is present.,3.  Left anterior descending:  Just at the ostium of the vessel and up to and including the bifurcation of the first large diagonal branch, there is 80 to 90% narrowing.  The diagonal is a large vessel about 3 mm in size.,4.  Circumflex:  Dominant vessel, 50% narrowing at",Cardiovascular/Pulmonary
"REASON FOR CONSULTATION: , I was asked by Dr. X to see the patient in regard to his likely recurrent brain tumor.,HISTORY OF PRESENT ILLNESS: , The patient was admitted for symptoms that sounded like postictal state.  He was initially taken to Hospital.  CT showed edema and slight midline shift, and therefore he was transferred here.  He has been seen by Hospitalists Service.  He has not had a recurrent seizure.  Electroencephalogram shows slowing.  MRI of the brain shows large inhomogeneous infiltrating right frontotemporal neoplasm surrounding the right middle cerebral artery.  There is inhomogeneous uptake consistent with potential necrosis.  He also has had a SPECT image of his brain, consistent with neoplasm, suggesting relatively high-grade neoplasm.  The patient was diagnosed with a brain tumor in 1999.  All details are still not available to us.  He underwent a biopsy by Dr. Y. One of the notes suggested that this was a glioma, likely an oligodendroglioma, pending a second opinion at Clinic.  That is not available on the chart as I dictate.,After discussion of treatment issues with radiation therapist and Dr. Z (medical oncologist), the decision was made to treat him primarily with radiation alone.  He tolerated that reasonably well.  His wife says it's been several years since he had a scan.  His behavior had not been changed, until it changed as noted earlier in this summary.,PAST MEDICAL HISTORY: , He has had a lumbar fusion.  I",Consult-HistoryandPhy.
"OCULAR FINDINGS: , Anterior chamber space:  Cornea, iris, lens, and pupils all unremarkable on gross examination in each eye.,Ocular adnexal spaces appear very good in each eye.,Cyclomydril x2 was used to dilate the pupil in each eye.,Medial spaces are clear and the periphery is still hazy in each eye.,Ocular disc space, normal size and shape with a pink color with clear margin in each eye.,Macular spaces are normal in appearance for the age in each eye.,Posterior pole.  No dilated blood vessels seen in each eye.,Periphery:  The peripheral retina is still hazy and retinopathy of prematurity cannot be ruled out at this time in each eye.,IMPRESSION:  ,Premature retina and vitreous, each eye.,PLAN:  ,Recheck in two weeks.,",Ophthalmology
"CHIEF COMPLAINT: , Left elbow pain.,HISTORY OF PRESENT ILLNESS:  ,This 17-year-old male was fighting with some other kids in Juvenile Hall when he felt some pain in his left elbow, causing sudden pain.  He also has pain in his left ankle, but he is able to walk normally.  He has had previous pain in his left knee.  He denies any passing out, any neck pain at this time even though he did get hit in the head.  He has no chest or abdominal pain.  Apparently, no knives or guns were involved.,PAST MEDICAL HISTORY: , He has had toe problems and left knee pain in the past.,REVIEW OF SYSTEMS: , No coughing, sputum production, dyspnea or chest pain.  No vomiting or abdominal pain.  No visual changes.  No neurologic deficits other than some numbness in his left hand.,SOCIAL HISTORY: , He is in Juvenile Hall for about 25 more days.  He is a nonsmoker.,ALLERGIES: , MORPHINE.,CURRENT MEDICATIONS:  ,Abilify.,PHYSICAL EXAMINATION: , VITAL SIGNS:  Stable.  HEENT:  PERRLA.  EOMI.  Conjunctivae anicteric.  Skull is normocephalic.  He is not complaining of bruising.  HEENT:  TMs and canals are normal.  There is no Battle sign.  NECK:  Supple.  He has good range of motion.  Spinal processes are normal to palpation.  LUNGS:  Clear.  CARDIAC:  Regular rate.  No murmurs or rubs.  EXTREMITIES:  Left elbow is tender.  He does not",GeneralMedicine
"PREOPERATIVE DIAGNOSIS: , Bunion, left foot.,POSTOPERATIVE DIAGNOSIS: ,Bunion, left foot.,PROCEDURE PERFORMED:,1.  Bunionectomy with first metatarsal osteotomy base wedge type with internal screw fixation.,2.  Akin osteotomy with internal wire fixation of left foot.,HISTORY: , This 19-year-old Caucasian female presents to ABCD General Hospital with the above chief complaint.  The patient states she has had worsening bunion deformity for as long as she could not remember.  She does have a history of Charcot-Marie tooth disease and desires surgical treatment at this time.,PROCEDURE: , An IV was instituted by the Department of Anesthesia in the preoperative holding area.  The patient was transported to the operating room and placed on operating table in the supine position with a safety belt across her lap.  Copious amounts of Webril were placed on the left ankle followed by a blood pressure cuff.  After adequate sedation by the Department of Anesthesia, a total of 15 cc of 1:1 mixture of 1% lidocaine plain and 0.5% Marcaine plain were injected in a Mayo block type fashion surrounding the lower left first metatarsal.  The foot was then prepped and draped in the usual sterile orthopedic fashion.  The foot was elevated from the operating table and exsanguinated with an Esmarch bandage.  The pneumatic ankle tourniquet was inflated to 250 mmHg and the foot was lowered to the operating field.  The stockinette was reflected, the foot was cleansed with a wet and dry sponge.  Approximately 5 cm incision was made",Surgery
"PREOPERATIVE DIAGNOSES:,1.  Cervical intraepithelial neoplasia grade-III status post conization with poor margins.,2.  Recurrent dysplasia.,3.  Unable to follow in office.,4.  Uterine procidentia grade II-III.,POSTOPERATIVE DIAGNOSES:,1.  Cervical intraepithelial neoplasia grade-III postconization.,2.  Poor margins.,3.  Recurrent dysplasia.,4.  Uterine procidentia grade II-III.,5.  Mild vaginal vault prolapse.,PROCEDURES PERFORMED:,1.  Total abdominal hysterectomy (TAH) with bilateral salpingooophorectomy.,2.  Uterosacral ligament vault suspension.,ANESTHESIA: , General and spinal with Astramorph for postoperative pain.,ESTIMATED BLOOD LOSS: , Less than 100 cc.,FLUIDS:  ,2400 cc.,URINE: , 200 cc of clear urine output.,INDICATIONS:  ,This patient is a 57-year-old nulliparous female who desires definitive hysterectomy for history of cervical intraepithelial neoplasia after conization and found to have poor margins.,FINDINGS:  ,On bimanual examination, the uterus was found to be small.  There were no adnexal masses appreciated.  Intraabdominal findings revealed a small uterus approximately 2 cm in size.  The ovaries were atrophic consistent with menopause.  The liver margins and stomach were palpated and found to be normal.,PROCEDURE IN DETAIL: , After informed consent was obtained, the patient was taken back to the operating suite and administered a spinal anesthesia for postoperative pain control.  She was then placed in the dorsal lithotomy position and administered general anesthesia.  She was then prepped and draped in the sterile fashion and an indwelling Foley catheter was placed in her bladder.  At this point, the patient was evaluated for a possible vaginal hysterectomy.  She was nulliparous and the pelvis was narrow.",Surgery
