id,text,token_count
10001," Shout with joy to the Lord, all the earth!",12
10002,"     Worship the Lord with gladness.
    Come before him, singing with joy.",17
10003," Acknowledge that the Lord is God!
    He made us, and we are his.
    We are his people, the sheep of his pasture.",30
10004," Enter his gates with thanksgiving;
    go into his courts with praise.
    Give thanks to him and praise his name.",25
10005," For the Lord is good.
    His unfailing love continues forever,
    and his faithfulness continues to each generation.",24
10101," I will sing of your love and justice, Lord.
    I will praise you with songs.",19
10102," I will be careful to live a blameless life
    when will you come to help me?
I will lead a life of integrity
    in my own home.",34
10103," I will refuse to look at
    anything vile and vulgar.
I hate all who deal crookedly;
    I will have nothing to do with them.",32
10104," I will reject perverse ideas
    and stay away from every evil.",14
10105," I will not tolerate people who slander their neighbors.
    I will not endure conceit and pride.",20
10106," I will search for faithful people
    to be my companions.
Only those who are above reproach
    will be allowed to serve me.",29
10107," I will not allow deceivers to serve in my house,
    and liars will not stay in my presence.",23
10108," My daily task will be to ferret out the wicked
    and free the city of the Lord from their grip.",24
10201," Lord, hear my prayer!
    Listen to my plea!",12
10202," Dont turn away from me
    in my time of distress.
Bend down to listen,
    and answer me quickly when I call to you.",30
10203," For my days disappear like smoke,
    and my bones burn like redhot coals.",18
10204," My heart is sick, withered like grass,
    and I have lost my appetite.",18
10205," Because of my groaning,
    I am reduced to skin and bones.",15
10206," I am like an owl in the desert,
    like a little owl in a faroff wilderness.",20
10207," I lie awake,
    lonely as a solitary bird on the roof.",14
10208," My enemies taunt me day after day.
    They mock and curse me.",16
10209," I eat ashes for food.
    My tears run down into my drink",14
10210," because of your anger and wrath.
    For you have picked me up and thrown me out.",19
10211," My life passes as swiftly as the evening shadows.
    I am withering away like grass.",19
10212," But you, O Lord, will sit on your throne forever.
    Your fame will endure to every generation.",22
10213," You will arise and have mercy on Jerusalem
    and now is the time to pity her,
    now is the time you promised to help.",29
10214," For your people love every stone in her walls
    and cherish even the dust in her streets.",20
10215," Then the nations will tremble before the Lord.
    The kings of the earth will tremble before his glory.",23
10216," For the Lord will rebuild Jerusalem.
    He will appear in his glory.",15
10217," He will listen to the prayers of the destitute.
    He will not reject their pleas.",20
10218," Let this be recorded for future generations,
    so that a people not yet born will praise the Lord.",21
10219," Tell them the Lord looked down
    from his heavenly sanctuary.
He looked down to earth from heaven",20
10220,"     to hear the groans of the prisoners,
    to release those condemned to die.",18
10221," And so the Lords fame will be celebrated in Zion,
    his praises in Jerusalem,",17
10222," when multitudes gather together
    and kingdoms come to worship the Lord.",15
10223," He broke my strength in midlife,
    cutting short my days.",14
10224," But I cried to him, O my God, who lives forever,
    dont take my life while I am so young!",25
10225," Long ago you laid the foundation of the earth
    and made the heavens with your hands.",19
10226," They will perish, but you remain forever;
    they will wear out like old clothing.
You will change them like a garment
    and discard them.",31
10227," But you are always the same;
    you will live forever.",13
10228," The children of your people
    will live in security.
Their childrens children
    will thrive in your presence.",24
10301," Let all that I am praise the Lord;
    with my whole heart, I will praise his holy name.",22
10302," Let all that I am praise the Lord;
    may I never forget the good things he does for me.",22
10303," He forgives all my sins
    and heals all my diseases.",14
10304," He redeems me from death
    and crowns me with love and tender mercies.",19
10305," He fills my life with good things.
    My youth is renewed like the eagles!",18
10306," The Lord gives righteousness
    and justice to all who are treated unfairly.",15
10307," He revealed his character to Moses
    and his deeds to the people of Israel.",17
10308," The Lord is compassionate and merciful,
    slow to get angry and filled with unfailing love.",20
10309," He will not constantly accuse us,
    nor remain angry forever.",13
10310," He does not punish us for all our sins;
    he does not deal harshly with us, as we deserve.",24
10311," For his unfailing love toward those who fear him
    is as great as the height of the heavens above the earth.",25
10312," He has removed our sins as far from us
    as the east is from the west.",19
10313," The Lord is like a father to his children,
    tender and compassionate to those who fear him.",20
10314," For he knows how weak we are;
    he remembers we are only dust.",16
10315," Our days on earth are like grass;
    like wildflowers, we bloom and die.",18
10316," The wind blows, and we are gone
    as though we had never been here.",18
10317," But the love of the Lord remains forever
    with those who fear him.
His salvation extends to the childrens children",24
10318,"     of those who are faithful to his covenant,
    of those who obey his commandments!",19
10319," The Lord has made the heavens his throne;
    from there he rules over everything.",17
10320," Praise the Lord, you angels,
    you mighty ones who carry out his plans,
    listening for each of his commands.",26
10321," Yes, praise the Lord, you armies of angels
    who serve him and do his will!",20
10322," Praise the Lord, everything he has created,
    everything in all his kingdom.
Let all that I am praise the Lord.",26
10401," Let all that I am praise the Lord.
O Lord my God, how great you are!
    You are robed with honor and majesty.",30
10402,"     You are dressed in a robe of light.
You stretch out the starry curtain of the heavens;",21
10403,"     you lay out the rafters of your home in the rain clouds.
You make the clouds your chariot;
    you ride upon the wings of the wind.",33
10404," The winds are your messengers;
    flames of fire are your servants.",15
10405," You placed the world on its foundation
    so it would never be moved.",16
10406," You clothed the earth with floods of water,
    water that covered even the mountains.",18
10407," At your command, the water fled;
    at the sound of your thunder, it hurried away.",20
10408," Mountains rose and valleys sank
    to the levels you decreed.",14
10409," Then you set a firm boundary for the seas,
    so they would never again cover the earth.",20
10410," You make springs pour water into the ravines,
    so streams gush down from the mountains.",20
10411," They provide water for all the animals,
    and the wild donkeys quench their thirst.",19
10412," The birds nest beside the streams
    and sing among the branches of the trees.",17
10413," You send rain on the mountains from your heavenly home,
    and you fill the earth with the fruit of your labor.",24
10414," You cause grass to grow for the livestock
    and plants for people to use.
You allow them to produce food from the earth",26
10415,"     wine to make them glad,
olive oil to soothe their skin,
    and bread to give them strength.",24
10416," The trees of the Lord are well cared for
    the cedars of Lebanon that he planted.",21
10417," There the birds make their nests,
    and the storks make their homes in the cypresses.",21
10418," High in the mountains live the wild goats,
    and the rocks form a refuge for the hyraxes.",22
10419," You made the moon to mark the seasons,
    and the sun knows when to set.",18
