Reference,Text,token_count
,The square of the hypotenuse is equal to the sum of the squares on the other two sides,20
Addition - Wikipedia,"Addition (usually signified by the plus symbol +) is one of the four basic operations of arithmetic, the other three being subtraction, multiplication and division.[2] The addition of two whole numbers results in the total amount or sum of those values combined. The example in the adjacent image shows two columns of three apples and two apples each, totaling at five apples. This observation is equivalent to the mathematical expression ""3 + 2 = 5"" (that is, ""3 plus 2 is equal to 5"").",106
Addition - Wikipedia,"Besides counting items, addition can also be defined and executed without referring to concrete objects, using abstractions called numbers instead, such as integers, real numbers and complex numbers. Addition belongs to arithmetic, a branch of mathematics. In algebra, another area of mathematics, addition can also be performed on abstract objects such as vectors, matrices, subspaces and subgroups.",72
Addition - Wikipedia,"Addition has several important properties. It is commutative, meaning that the order of the operands does not matter, and it is associative, meaning that when one adds more than two numbers, the order in which addition is performed does not matter. Repeated addition of 1 is the same as counting (see Successor function). Addition of 0 does not change a number. Addition also obeys predictable rules concerning related operations such as subtraction and multiplication.",92
Addition - Wikipedia,"Performing addition is one of the simplest numerical tasks to do. Addition of very small numbers is accessible to toddlers; the most basic task, 1 + 1, can be performed by infants as young as five months, and even some members of other animal species. In primary education, students are taught to add numbers in the decimal system, starting with single digits and progressively tackling more difficult problems. Mechanical aids range from the ancient abacus to the modern computer, where research on the most efficient implementations of addition continues to this day.",107
Counting - Wikipedia,"Counting is the process of determining the number of elements of a finite set of objects; that is, determining the size of a set. The traditional way of counting consists of continually increasing a (mental or spoken) counter by a unit for every element of the set, in some order, while marking (or displacing) those elements to avoid visiting the same element more than once, until no unmarked elements are left; if the counter was set to one after the first object, the value after visiting the final object gives the desired number of elements. The related term enumeration refers to uniquely identifying the elements of a finite (combinatorial) set or infinite set by assigning a number to each element.",141
Counting - Wikipedia,"Counting sometimes involves numbers other than one; for example, when counting money, counting out change, ""counting by twos"" (2, 4, 6, 8, 10, 12, ...), or ""counting by fives"" (5, 10, 15, 20, 25, ...)",71
Counting - Wikipedia,"There is archaeological evidence suggesting that humans have been counting for at least 50,000 years.[1] Counting was primarily used by ancient cultures to keep track of social and economic data such as the number of group members, prey animals, property, or debts (that is, accountancy)",59
Numeral system - Wikipedia,"A numeral system is a writing system for expressing numbers; that is, a mathematical notation for representing numbers of a given set, using digits or other symbols in a consistent manner.",35
Numeral system - Wikipedia,"The same sequence of symbols may represent different numbers in different numeral systems. For example, ""11"" represents the number eleven in the decimal numeral system (today, the most common system globally), the number three in the binary numeral system (used in modern computers), and the number two in the unary numeral system (used in tallying scores)",68
Integer - Wikipedia,"An integer is the number zero (0), a positive natural number (1, 2, 3, etc.) or a negative integer (−1, −2, −3, etc.).[1] The negative numbers are the additive inverses of the corresponding positive numbers",56
Fraction - Wikipedia,"A fraction (from Latin: fractus, ""broken"") represents a part of a whole or, more generally, any number of equal parts. When spoken in everyday English, a fraction describes how many parts of a certain size there are",47
Fraction - Wikipedia,"Common fractions can be positive or negative, and they can be proper or improper (see below). Compound fractions, complex fractions, mixed numerals, and decimals (see below) are not common fractions; though, unless irrational, they can be evaluated to a common fraction.",54
Ratio - Wikipedia,"The numbers in a ratio may be quantities of any kind, such as counts of people or objects, or such as measurements of lengths, weights, time, etc. In most contexts, both numbers are restricted to be positive.",45
Ratio - Wikipedia,"In mathematics, a ratio (/ˈreɪʃ(i)oʊ/) shows how many times one number contains another.",27
