id,text,token_count
101,"These are the proverbs of Solomon, Davids son, king of Israel.",16
102," Their purpose is to teach people wisdom and discipline,
    to help them understand the insights of the wise.",21
103," Their purpose is to teach people to live disciplined and successful lives,
    to help them do what is right, just, and fair.",27
104," These proverbs will give insight to the simple,
    knowledge and discernment to the young.",19
105," Let the wise listen to these proverbs and become even wiser.
    Let those with understanding receive guidance",21
106," by exploring the meaning in these proverbs and parables,
    the words of the wise and their riddles.",23
107," Fear of the Lord is the foundation of true knowledge,
    but fools despise wisdom and discipline.",20
108," My child, listen when your father corrects you.
    Dont neglect your mothers instruction.",18
109," What you learn from them will crown you with grace
    and be a chain of honor around your neck.",22
110," My child, if sinners entice you,
    turn your back on them!",17
111," They may say, Come and join us.
    Lets hide and kill someone!
    Just for fun, lets ambush the innocent!",26
112," Lets swallow them alive, like the grave;
    lets swallow them whole, like those who go down to the pit of death.",26
113," Think of the great things well get!
    Well fill our houses with all the stuff we take.",20
114," Come, throw in your lot with us;
    well all share the loot.",16
115," My child, dont go along with them!
    Stay far away from their paths.",17
116," They rush to commit evil deeds.
    They hurry to commit murder.",14
117," If a bird sees a trap being set,
    it knows to stay away.",16
118," But these people set an ambush for themselves;
    they are trying to get themselves killed.",18
119," Such is the fate of all who are greedy for money;
    it robs them of life.",20
120," Wisdom shouts in the streets.
    She cries out in the public square.",15
121," She calls to the crowds along the main street,
    to those gathered in front of the city gate:",21
122," How long, you simpletons,
    will you insist on being simpleminded?
How long will you mockers relish your mocking?
    How long will you fools hate knowledge?",37
123," Come and listen to my counsel.
Ill share my heart with you
    and make you wise.",20
124," I called you so often, but you wouldnt come.
    I reached out to you, but you paid no attention.",25
125," You ignored my advice
    and rejected the correction I offered.",13
126," So I will laugh when you are in trouble!
    I will mock you when disaster overtakes you",20
127," when calamity overtakes you like a storm,
    when disaster engulfs you like a cyclone,
    and anguish and distress overwhelm you.",30
128," When they cry for help, I will not answer.
    Though they anxiously search for me, they will not find me.",26
129," For they hated knowledge
    and chose not to fear the Lord.",14
130," They rejected my advice
    and paid no attention when I corrected them.",15
131," Therefore, they must eat the bitter fruit of living their own way,
    choking on their own schemes.",21
132," For simpletons turn away from meto death.
    Fools are destroyed by their own complacency.",21
133," But all who listen to me will live in peace,
    untroubled by fear of harm.",21
201,"My child, listen to what I say,
    and treasure my commands.",15
202," Tune your ears to wisdom,
    and concentrate on understanding.",12
203," Cry out for insight,
    and ask for understanding.",11
204," Search for them as you would for silver;
    seek them like hidden treasures.",16
205," Then you will understand what it means to fear the Lord,
    and you will gain knowledge of God.",21
206," For the Lord grants wisdom!
    From his mouth come knowledge and understanding.",15
207," He grants a treasure of common sense to the honest.
    He is a shield to those who walk with integrity.",23
208," He guards the paths of the just
    and protects those who are faithful to him.",18
209," Then you will understand what is right, just, and fair,
    and you will find the right way to go.",24
210," For wisdom will enter your heart,
    and knowledge will fill you with joy.",16
211," Wise choices will watch over you.
    Understanding will keep you safe.",14
212," Wisdom will save you from evil people,
    from those whose words are twisted.",16
213," These men turn from the right way
    to walk down dark paths.",15
214," They take pleasure in doing wrong,
    and they enjoy the twisted ways of evil.",17
215," Their actions are crooked,
    and their ways are wrong.",13
216," Wisdom will save you from the immoral woman,
    from the seductive words of the promiscuous woman.",22
217," She has abandoned her husband
    and ignores the covenant she made before God.",16
218," Entering her house leads to death;
    it is the road to the grave.",17
219," The man who visits her is doomed.
    He will never reach the paths of life.",18
220," So follow the steps of the good,
    and stay on the paths of the righteous.",18
221," For only the godly will live in the land,
    and those with integrity will remain in it.",21
222," But the wicked will be removed from the land,
    and the treacherous will be uprooted.",22
301,"My child, never forget the things I have taught you.
    Store my commands in your heart.",20
302," If you do this, you will live many years,
    and your life will be satisfying.",19
303," Never let loyalty and kindness leave you!
    Tie them around your neck as a reminder.
    Write them deep within your heart.",26
304," Then you will find favor with both God and people,
    and you will earn a good reputation.",20
305," Trust in the Lord with all your heart;
    do not depend on your own understanding.",18
306," Seek his will in all you do,
    and he will show you which path to take.",19
307," Dont be impressed with your own wisdom.
    Instead, fear the Lord and turn away from evil.",20
308," Then you will have healing for your body
    and strength for your bones.",16
309," Honor the Lord with your wealth
    and with the best part of everything you produce.",18
310," Then he will fill your barns with grain,
    and your vats will overflow with good wine.",21
311," My child, dont reject the Lords discipline,
    and dont be upset when he corrects you.",20
312," For the Lord corrects those he loves,
    just as a father corrects a child in whom he delights.",23
313," Joyful is the person who finds wisdom,
    the one who gains understanding.",16
314," For wisdom is more profitable than silver,
    and her wages are better than gold.",17
315," Wisdom is more precious than rubies;
    nothing you desire can compare with her.",17
316," She offers you long life in her right hand,
    and riches and honor in her left.",19
317," She will guide you down delightful paths;
    all her ways are satisfying.",15
318," Wisdom is a tree of life to those who embrace her;
    happy are those who hold her tightly.",21
319," By wisdom the Lord founded the earth;
    by understanding he created the heavens.",16
320," By his knowledge the deep fountains of the earth burst forth,
    and the dew settles beneath the night sky.",23
321," My child, dont lose sight of common sense and discernment.
    Hang on to them,",19
322," for they will refresh your soul.
    They are like jewels on a necklace.",16
323," They keep you safe on your way,
    and your feet will not stumble.",16
324," You can go to bed without fear;
    you will lie down and sleep soundly.",18
325," You need not be afraid of sudden disaster
    or the destruction that comes upon the wicked,",19
326," for the Lord is your security.
    He will keep your foot from being caught in a trap.",20
327," Do not withhold good from those who deserve it
    when its in your power to help them.",20
328," If you can help your neighbor now, dont say,
    Come back tomorrow, and then Ill help you.",22
329," Dont plot harm against your neighbor,
    for those who live nearby trust you.",16
330," Dont pick a fight without reason,
    when no one has done you harm.",16
331," Dont envy violent people
    or copy their ways.",11
332," Such wicked people are detestable to the Lord,
    but he offers his friendship to the godly.",22
333," The Lord curses the house of the wicked,
    but he blesses the home of the upright.",20
334," The Lord mocks the mockers
    but is gracious to the humble.",15
335," The wise inherit honor,
    but fools are put to shame!",13
401,"My children, listen when your father corrects you.
    Pay attention and learn good judgment,",19
402," for I am giving you good guidance.
    Dont turn away from my instructions.",16
403," For I, too, was once my fathers son,
    tenderly loved as my mothers only child.",21
404," My father taught me,
Take my words to heart.
    Follow my commands, and you will live.",21
405," Get wisdom; develop good judgment.
    Dont forget my words or turn away from them.",18
406," Dont turn your back on wisdom, for she will protect you.
    Love her, and she will guard you.",23
407," Getting wisdom is the wisest thing you can do!
    And whatever else you do, develop good judgment.",22
408," If you prize wisdom, she will make you great.
    Embrace her, and she will honor you.",22
409," She will place a lovely wreath on your head;
    she will present you with a beautiful crown.",21
410," My child, listen to me and do as I say,
    and you will have a long, good life.",23
411," I will teach you wisdoms ways
    and lead you in straight paths.",16
412," When you walk, you wont be held back;
    when you run, you wont stumble.",19
413," Take hold of my instructions; dont let them go.
    Guard them, for they are the key to life.",23
414," Dont do as the wicked do,
    and dont follow the path of evildoers.",18
415," Dont even think about it; dont go that way.
    Turn away and keep moving.",18
416," For evil people cant sleep until theyve done their evil deed for the day.
    They cant rest until theyve caused someone to stumble.",28
417," They eat the food of wickedness
    and drink the wine of violence!",16
418," The way of the righteous is like the first gleam of dawn,
    which shines ever brighter until the full light of day.",26
419," But the way of the wicked is like total darkness.
    They have no idea what they are stumbling over.",22
420," My child, pay attention to what I say.
    Listen carefully to my words.",17
421," Dont lose sight of them.
    Let them penetrate deep into your heart,",15
422," for they bring life to those who find them,
    and healing to their whole body.",18
423," Guard your heart above all else,
    for it determines the course of your life.",17
424," Avoid all perverse talk;
    stay away from corrupt speech.",12
425," Look straight ahead,
    and fix your eyes on what lies before you.",15
426," Mark out a straight path for your feet;
    stay on the safe path.",16
427," Dont get sidetracked;
    keep your feet from following evil.",14
501,"My son, pay attention to my wisdom;
    listen carefully to my wise counsel.",17
502," Then you will show discernment,
    and your lips will express what youve learned.",18
503," For the lips of an immoral woman are as sweet as honey,
    and her mouth is smoother than oil.",22
504," But in the end she is as bitter as poison,
    as dangerous as a doubleedged sword.",21
505," Her feet go down to death;
    her steps lead straight to the grave.",16
506," For she cares nothing about the path to life.
    She staggers down a crooked trail and doesnt realize it.",24
507," So now, my sons, listen to me.
    Never stray from what I am about to say:",21
508," Stay away from her!
    Dont go near the door of her house!",15
509," If you do, you will lose your honor
    and will lose to merciless people all you have achieved.",22
510," Strangers will consume your wealth,
    and someone else will enjoy the fruit of your labor.",19
511," In the end you will groan in anguish
    when disease consumes your body.",17
512," You will say, How I hated discipline!
    If only I had not ignored all the warnings!",20
513," Oh, why didnt I listen to my teachers?
    Why didnt I pay attention to my instructors?",20
514," I have come to the brink of utter ruin,
    and now I must face public disgrace.",19
515," Drink water from your own well
    share your love only with your wife.",16
516," Why spill the water of your springs in the streets,
    having sex with just anyone?",18
517," You should reserve it for yourselves.
    Never share it with strangers.",14
518," Let your wife be a fountain of blessing for you.
    Rejoice in the wife of your youth.",22
519," She is a loving deer, a graceful doe.
    Let her breasts satisfy you always.
    May you always be captivated by her love.",29
520," Why be captivated, my son, by an immoral woman,
    or fondle the breasts of a promiscuous woman?",26
521," For the Lord sees clearly what a man does,
    examining every path he takes.",17
522," An evil man is held captive by his own sins;
    they are ropes that catch and hold him.",21
523," He will die for lack of selfcontrol;
    he will be lost because of his great foolishness.",21
601,"My child, if you have put up security for a friends debt
    or agreed to guarantee the debt of a stranger",24
602," if you have trapped yourself by your agreement
    and are caught by what you said",17
603," follow my advice and save yourself,
    for you have placed yourself at your friends mercy.
Now swallow your pride;
    go and beg to have your name erased.",33
604," Dont put it off; do it now!
    Dont rest until you do.",16
605," Save yourself like a gazelle escaping from a hunter,
    like a bird fleeing from a net.",20
606," Take a lesson from the ants, you lazybones.
    Learn from their ways and become wise!",20
607," Though they have no prince
    or governor or ruler to make them work,",16
608," they labor hard all summer,
    gathering food for the winter.",13
609," But you, lazybones, how long will you sleep?
    When will you wake up?",19
610," A little extra sleep, a little more slumber,
    a little folding of the hands to rest",20
611," then poverty will pounce on you like a bandit;
    scarcity will attack you like an armed robber.",22
612," What are worthless and wicked people like?
    They are constant liars,",15
613," signaling their deceit with a wink of the eye,
    a nudge of the foot, or the wiggle of fingers.",25
614," Their perverted hearts plot evil,
    and they constantly stir up trouble.",15
615," But they will be destroyed suddenly,
    broken in an instant beyond all hope of healing.",18
616," There are six things the Lord hates
    no, seven things he detests:",17
617," haughty eyes,
    a lying tongue,
    hands that kill the innocent,",16
618," a heart that plots evil,
    feet that race to do wrong,",14
619," a false witness who pours out lies,
    a person who sows discord in a family.",19
620," My son, obey your fathers commands,
    and dont neglect your mothers instruction.",16
621," Keep their words always in your heart.
    Tie them around your neck.",15
622," When you walk, their counsel will lead you.
    When you sleep, they will protect you.
    When you wake up, they will advise you.",31
623," For their command is a lamp
    and their instruction a light;
their corrective discipline
    is the way to life.",25
624," It will keep you from the immoral woman,
    from the smooth tongue of a promiscuous woman.",21
625," Dont lust for her beauty.
    Dont let her coy glances seduce you.",17
626," For a prostitute will bring you to poverty,
    but sleeping with another mans wife will cost you your life.",22
627," Can a man scoop a flame into his lap
    and not have his clothes catch on fire?",20
628," Can he walk on hot coals
    and not blister his feet?",15
629," So it is with the man who sleeps with another mans wife.
    He who embraces her will not go unpunished.",25
630," Excuses might be found for a thief
    who steals because he is starving.",17
631," But if he is caught, he must pay back seven times what he stole,
    even if he has to sell everything in his house.",28
632," But the man who commits adultery is an utter fool,
    for he destroys himself.",17
633," He will be wounded and disgraced.
    His shame will never be erased.",16
634," For the womans jealous husband will be furious,
    and he will show no mercy when he takes revenge.",22
635," He will accept no compensation,
    nor be satisfied with a payoff of any size.",17
701,"Follow my advice, my son;
    always treasure my commands.",13
702," Obey my commands and live!
    Guard my instructions as you guard your own eyes.",18
703," Tie them on your fingers as a reminder.
    Write them deep within your heart.",17
704," Love wisdom like a sister;
    make insight a beloved member of your family.",16
705," Let them protect you from an affair with an immoral woman,
    from listening to the flattery of a promiscuous woman.",26
706," While I was at the window of my house,
    looking through the curtain,",16
707," I saw some naive young men,
    and one in particular who lacked common sense.",17
708," He was crossing the street near the house of an immoral woman,
    strolling down the path by her house.",23
709," It was at twilight, in the evening,
    as deep darkness fell.",15
710," The woman approached him,
    seductively dressed and sly of heart.",16
711," She was the brash, rebellious type,
    never content to stay at home.",18
712," She is often in the streets and markets,
    soliciting at every corner.",16
713," She threw her arms around him and kissed him,
    and with a brazen look she said,",20
714," Ive just made my peace offerings
    and fulfilled my vows.",13
715," Youre the one I was looking for!
    I came out to find you, and here you are!",22
716," My bed is spread with beautiful blankets,
    with colored sheets of Egyptian linen.",16
717," Ive perfumed my bed
    with myrrh, aloes, and cinnamon.",18
718," Come, lets drink our fill of love until morning.
    Lets enjoy each others caresses,",19
719," for my husband is not home.
    Hes away on a long trip.",16
720," He has taken a wallet full of money with him
    and wont return until later this month.",20
721," So she seduced him with her pretty speech
    and enticed him with her flattery.",20
722," He followed her at once,
    like an ox going to the slaughter.
He was like a stag caught in a trap,",25
723,"     awaiting the arrow that would pierce its heart.
He was like a bird flying into a snare,
    little knowing it would cost him his life.",32
724," So listen to me, my sons,
    and pay attention to my words.",16
725," Dont let your hearts stray away toward her.
    Dont wander down her wayward path.",18
726," For she has been the ruin of many;
    many men have been her victims.",17
727," Her house is the road to the grave.
    Her bedroom is the den of death.",18
801,"Listen as Wisdom calls out!
    Hear as understanding raises her voice!",14
802," On the hilltop along the road,
    she takes her stand at the crossroads.",18
803," By the gates at the entrance to the town,
    on the road leading in, she cries aloud,",21
804," I call to you, to all of you!
    I raise my voice to all people.",19
805," You simple people, use good judgment.
    You foolish people, show some understanding.",17
806," Listen to me! For I have important things to tell you.
    Everything I say is right,",20
807," for I speak the truth
    and detest every kind of deception.",15
808," My advice is wholesome.
    There is nothing devious or crooked in it.",17
809," My words are plain to anyone with understanding,
    clear to those with knowledge.",16
810," Choose my instruction rather than silver,
    and knowledge rather than pure gold.",15
811," For wisdom is far more valuable than rubies.
    Nothing you desire can compare with it.",19
812," I, Wisdom, live together with good judgment.
    I know where to discover knowledge and discernment.",21
813," All who fear the Lord will hate evil.
    Therefore, I hate pride and arrogance,
    corruption and perverse speech.",24
814," Common sense and success belong to me.
    Insight and strength are mine.",15
